sku,name,short_description,description_html,regular_price,sale_price,categories,tags,image_paths,attributes_json,stock,pack_info,external_url
BON-18440OL,BOINA OITAVADA PURE WOOL XADREZ,"Boina oitavada em 100% lã pura com padrão xadrez, fabricada na Itália","<p>Boina oitavada em 100% lã pura com padrão xadrez, fabricada na Itália</p><p>Découvrez notre Casquette - 18440OL au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Oliva</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Lã</li></ul>",45.00,,Chapéus > Boinas > Inverno,"Fabricado na Itália, Inverno, Lã Pura",images/boinas inverno/bone-18440ol/img_01.jpg | images/boinas inverno/bone-18440ol/img_02.jpg | images/boinas inverno/bone-18440ol/img_03.jpg | images/boinas inverno/bone-18440ol/img_04.jpg,"{""Cor"":""Oliva"",""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100% Lã"",""Pack"":""Unitário""}",10,Unitário,https://hologrammeparis.com/product/casquette-18440ol/
GORRO-MIKI-22100-GORRO-DE-L-ESTILO-BRET-,CHAPÉUS MIKI / MARINHEIRO,Gorro estilo bretão Miki Docker em lã com pata de aperto traseira,"<p>Gorro estilo bretão Miki Docker em lã com pata de aperto traseira</p><p>Notre version Hologramme Paris du « Miki Docker » Bonnet style breton en laine avec patte de serrage arrière Sobre et sans logo apparent</p><ul><li><strong>Cor</strong>: Azul celeste , camelo claro , camelo escuro , cinza escuro , cáqui , marinho , marrom , mostarda , preto , vermelho , verde</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 49% Viscose – 51% Lã</li></ul>",24.90,,Chapéus > Boinas > Inverno,CHAPÉUS MIKI / MARINHEIRO,images/boinas inverno/gorro-miki-22100-gorro-de-la-estilo-bretao-miki-docker-com-aba-de-aperto-traseira/img_01.jpg,"{""Cor"":[""Azul celeste"",""camelo claro"",""camelo escuro"",""cinza escuro"",""cáqui"",""marinho"",""marrom"",""mostarda"",""preto"",""vermelho"",""verde""],""Composição"":""49% Viscose – 51% Lã"",""Pack"":""Unitário""}",10,Unitário,https://hologrammeparis.com/product/bonnet-22100/
GORRO-344974-GORRO-DE-L-ESTILO-BRET-O-MI,CHAPÉUS MIKI / MARINHEIRO,"Gorro estilo bretão em lã merino, fabricado em Portugal","<p>Gorro estilo bretão em lã merino, fabricado em Portugal</p><p>Découvrez notre Bonnet - 4974 Laine au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Borgonha , Camelo Claro , Camelo Escuro , Cinza Claro , Cinza Escuro , Cáqui , Marinho , Marrom , Marrom Escuro , Mostarda , Preto , Vermelho , Roxo</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 20% Poliamida – 80% Lã Merino</li></ul>",24.90,,Chapéus > Boinas > Inverno,Etiqueta: Fabricado em Portugal,images/boinas inverno/gorro-344974-gorro-de-la-estilo-bretao-miki-docker-com-aba-de-aperto-traseira/img_01.jpg,"{""Cor"":[""Borgonha"",""Camelo Claro"",""Camelo Escuro"",""Cinza Claro"",""Cinza Escuro"",""Cáqui"",""Marinho"",""Marrom"",""Marrom Escuro"",""Mostarda"",""Preto"",""Vermelho"",""Roxo""],""Composição"":""20% Poliamida – 80% Lã Merino"",""Pack"":""Unitário""}",10,Unitário,https://hologrammeparis.com/product/bonnet-344974/?attribute_pa_couleur=gris-fonce
BON-18508MI-18452,BOINA SEXTAVADA PURE WOOL,"Boina sextavada em 100% lã pura, fabricada na Itália","<p>Boina sextavada em 100% lã pura, fabricada na Itália</p><p>Découvrez notre Casquette - 18508MI au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Marinha, Caqui, Marrom</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Lã</li></ul>",55.00,,Chapéus > Boinas > Inverno,"Fabricado na Itália, Inverno, Lã Pura",images/boinas inverno/bone-18508mi-18452/img_01.jpg | images/boinas inverno/bone-18508mi-18452/img_02.jpg | images/boinas inverno/bone-18508mi-18452/img_03.jpg | images/boinas inverno/bone-18508mi-18452/img_04.jpg | images/boinas inverno/bone-18508mi-18452/img_05.jpg | images/boinas inverno/bone-18508mi-18452/img_06.jpg | images/boinas inverno/bone-18508mi-18452/img_07.jpg | images/boinas inverno/bone-18508mi-18452/img_08.jpg | images/boinas inverno/bone-18508mi-18452/img_09.jpg | images/boinas inverno/bone-18508mi-18452/img_10.jpg | images/boinas inverno/bone-18508mi-18452/img_11.jpg | images/boinas inverno/bone-18508mi-18452/img_12.jpg | images/boinas inverno/bone-18508mi-18452/img_13.jpg | images/boinas inverno/bone-18508mi-18452/img_14.jpg | images/boinas inverno/bone-18508mi-18452/img_15.jpg | images/boinas inverno/bone-18508mi-18452/img_16.jpg,"{""Cor"":[""Marinha"",""Caqui"",""Marrom""],""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100% Lã"",""Pack"":""Unitário""}",10,Unitário,https://hologrammeparis.com/product/casquette-18508mi/
BON-18500MI,BOINA HARRIS TWEED QUADRADOS,Harris Tweed 100% lã virgem,"<p>Harris Tweed 100% lã virgem</p><p>Harris Tweed 100% Laine vierge</p><ul><li><strong>Cor</strong>: Marinho</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Lã</li></ul>",85.00,,Chapéus > Boinas > Inverno,"Fabricado na Itália, Harris Tweed, Inverno, Lã Pura",images/boinas inverno/bone-18500mi/img_01.jpg | images/boinas inverno/bone-18500mi/img_02.jpg | images/boinas inverno/bone-18500mi/img_03.jpg | images/boinas inverno/bone-18500mi/img_04.jpg,"{""Cor"":""Marinho"",""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100% Lã"",""Pack"":""Unitário""}",10,Unitário,https://hologrammeparis.com/product/casquette-18500mi/
BON-18501MI,BOINA HARRIS TWEED PATCHWORK,Harris Tweed 100% lã virgem,"<p>Harris Tweed 100% lã virgem</p><p>Harris Tweed 100% Laine vierge</p><ul><li><strong>Cor</strong>: Marinho</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Lã</li></ul>",85.00,,Chapéus > Boinas > Inverno,"Fabricado na Itália, Harris Tweed, Inverno, Lã Pura",images/boinas inverno/bone-18501mi/img_01.jpg | images/boinas inverno/bone-18501mi/img_02.jpg | images/boinas inverno/bone-18501mi/img_03.jpg | images/boinas inverno/bone-18501mi/img_04.jpg,"{""Cor"":""Marinho"",""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100% Lã"",""Pack"":""Unitário""}",10,Unitário,https://hologrammeparis.com/product/casquette-18501mi/
BON-18074-BON-18074K-BON-18074GC,BOINA PIEMONTE MIX WOOL,"Boina Piemonte com mistura de lã, fabricada na Itália","<p>Boina Piemonte com mistura de lã, fabricada na Itália</p><p>Découvrez notre Casquette - 18074BL au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Azul, Verde, Cinza</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 35% Lã – 25% Poliéster – 20% Acrílico – 10% Algodão – 10% Poliamida</li></ul>",29.90,,Chapéus > Boinas > Inverno,"Fabricado na Itália, Inverno",images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_01.jpg | images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_02.jpg | images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_03.jpg | images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_04.jpg | images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_05.jpg | images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_06.jpg | images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_07.jpg | images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_08.jpg | images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_09.jpg | images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_12.jpg | images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_13.jpg | images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_14.jpg | images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_15.jpg,"{""Cor"":[""Azul"",""Verde"",""Cinza""],""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""35% Lã – 25% Poliéster – 20% Acrílico – 10% Algodão – 10% Poliamida"",""Pack"":""Unitário""}",10,Unitário,https://hologrammeparis.com/product/casquette-18074bl/
BON-18279K-BON-18279MA-BON-18279MI-BON-1,BOINA SEXTAVADA COM BOMBAZINE,"Boina sextavada em bombazine, fabricada na Itália","<p>Boina sextavada em bombazine, fabricada na Itália</p><p>Découvrez notre Casquette - 18279K au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Azul, Preto, Bege, Marrom, Cinza, Verde</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 61% Poliéster – 31% Viscose – 8% Elastano , Forro: Poliéster</li></ul>",45.00,,Chapéus > Boinas > Inverno,"Fabricado na Itália, Inverno",images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_01.jpg | images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_02.jpg | images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_03.jpg | images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_04.jpg | images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_05.jpg | images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_06.jpg | images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_07.jpg | images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_08.jpg | images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_09.jpg | images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_10.jpg | images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_11.jpg | images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_12.jpg,"{""Cor"":[""Azul"",""Preto"",""Bege"",""Marrom"",""Cinza"",""Verde""],""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":[""61% Poliéster – 31% Viscose – 8% Elastano"",""Forro: Poliéster""],""Pack"":""Unitário""}",10,Unitário,https://hologrammeparis.com/product/casquette-18279k/
18220MI,BOINA OITAVADA PURE WOOL,"Boina oitavada em 100% lã pura Shetland, fabricada na Itália","<p>Boina oitavada em 100% lã pura Shetland, fabricada na Itália</p><p>100% Pure Laine Shetland</p><ul><li><strong>Cor</strong>: Marinha</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Lã</li></ul>",45.00,,Chapéus > Boinas > Inverno,"Fabricado na Itália, Inverno, Lã Pura",images/boinas inverno/18220mi/img_01.jpg | images/boinas inverno/18220mi/img_02.jpg | images/boinas inverno/18220mi/img_03.jpg | images/boinas inverno/18220mi/img_04.jpg,"{""Cor"":""Marinha"",""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":""100% Lã"",""Pack"":""Unitário""}",10,Unitário,https://hologrammeparis.com/product/casquette-18220mi-new/
HOLOGRAMME,VISEIRA  FEMININA,"COR        
Bege, Castanho, Verde, Azul, Bordo, Marinho

TAMANHO                
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Pacote 24

COMPOSIÇÃO                
69% Poliéster – 31% Algodão / Forro 100% Algodão","<p>COR        
Bege, Castanho, Verde, Azul, Bordo, Marinho

TAMANHO                
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Pacote 24

COMPOSIÇÃO                
69% Poliéster – 31% Algodão / Forro 100% Algodão</p><p>Découvrez notre Casquette - 18474OL = 18519OL au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Pink, verde, preto, azul, bege, camel</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Composição</strong>: 69% Poliéster – 31% Algodão / Forro 100% Algodão</li><li><strong>Vendido Por</strong>: Pacote 24</li></ul>",8.00,,Chapéus > Cowboy,VISEIRA  FEMININA,images/cowboy/hologramme/img_01.jpg | images/cowboy/hologramme/img_02.jpg | images/cowboy/hologramme/img_03.jpg | images/cowboy/hologramme/img_04.jpg,"{""Cor"":[""Pink"",""verde"",""preto"",""azul"",""bege"",""camel""],""Tamanho"":[""55"",""56"",""57"",""58"",""59"",""60"",""61""],""Composição"":[""69% Poliéster – 31% Algodão"",""Forro 100% Algodão""],""Pack"":""Pacote 24""}",10,Pacote 24,https://hologrammeparis.com/product/casquette-18474ol/
