Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
boina-oitavada-pure-wool-xadrez,BOINA OITAVADA PURE WOOL XADREZ,"<p>Boina oitavada em 100% lã pura com padrão xadrez, fabricada na Itália</p><p>Découvrez notre Casquette - 18440OL au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Oliva</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Lã</li></ul>",Chapeus Lisboetas,Inverno,"Fabricado na Itália, Inverno, Lã Pura",TRUE,Title,Default Title,Boné – 18440OL,,shopify,10,deny,manual,45.00,,TRUE,TRUE,,,BOINA OITAVADA PURE WOOL XADREZ,FALSE,active
chapeus-miki-marinheiro,CHAPÉUS MIKI / MARINHEIRO,"<p>Gorro estilo bretão Miki Docker em lã com pata de aperto traseira</p><p>Notre version Hologramme Paris du « Miki Docker » Bonnet style breton en laine avec patte de serrage arrière Sobre et sans logo apparent</p><ul><li><strong>Cor</strong>: Azul celeste , camelo claro , camelo escuro , cinza escuro , cáqui , marinho , marrom , mostarda , preto , vermelho , verde</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 49% Viscose – 51% Lã</li></ul>",Chapeus Lisboetas,Inverno,CHAPÉUS MIKI / MARINHEIRO,TRUE,Title,Default Title,Gorro – Miki 22100 gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira,,shopify,10,deny,manual,24.90,,TRUE,TRUE,,,CHAPÉUS MIKI / MARINHEIRO,FALSE,active
chapeus-miki-marinheiro-2,CHAPÉUS MIKI / MARINHEIRO,"<p>Gorro estilo bretão em lã merino, fabricado em Portugal</p><p>Découvrez notre Bonnet - 4974 Laine au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Borgonha , Camelo Claro , Camelo Escuro , Cinza Claro , Cinza Escuro , Cáqui , Marinho , Marrom , Marrom Escuro , Mostarda , Preto , Vermelho , Roxo</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 20% Poliamida – 80% Lã Merino</li></ul>",Chapeus Lisboetas,Inverno,Etiqueta: Fabricado em Portugal,TRUE,Title,Default Title,Gorro – 344974 gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira,,shopify,10,deny,manual,24.90,,TRUE,TRUE,,,CHAPÉUS MIKI / MARINHEIRO,FALSE,active
boina-sextavada-pure-wool,BOINA SEXTAVADA PURE WOOL,"<p>Boina sextavada em 100% lã pura, fabricada na Itália</p><p>Découvrez notre Casquette - 18508MI au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Marinha, Caqui, Marrom</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Lã</li></ul>",Chapeus Lisboetas,Inverno,"Fabricado na Itália, Inverno, Lã Pura",TRUE,Title,Default Title,Boné – 18508MI 18452,,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,BOINA SEXTAVADA PURE WOOL,FALSE,active
boina-harris-tweed-quadrados,BOINA HARRIS TWEED QUADRADOS,"<p>Harris Tweed 100% lã virgem</p><p>Harris Tweed 100% Laine vierge</p><ul><li><strong>Cor</strong>: Marinho</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Lã</li></ul>",Chapeus Lisboetas,Inverno,"Fabricado na Itália, Harris Tweed, Inverno, Lã Pura",TRUE,Title,Default Title,Boné – 18500MI,,shopify,10,deny,manual,85.00,,TRUE,TRUE,,,BOINA HARRIS TWEED QUADRADOS,FALSE,active
boina-harris-tweed-patchwork,BOINA HARRIS TWEED PATCHWORK,"<p>Harris Tweed 100% lã virgem</p><p>Harris Tweed 100% Laine vierge</p><ul><li><strong>Cor</strong>: Marinho</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Lã</li></ul>",Chapeus Lisboetas,Inverno,"Fabricado na Itália, Harris Tweed, Inverno, Lã Pura",TRUE,Title,Default Title,Boné – 18501MI,,shopify,10,deny,manual,85.00,,TRUE,TRUE,,,BOINA HARRIS TWEED PATCHWORK,FALSE,active
boina-piemonte-mix-wool,BOINA PIEMONTE MIX WOOL,"<p>Boina Piemonte com mistura de lã, fabricada na Itália</p><p>Découvrez notre Casquette - 18074BL au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Azul, Verde, Cinza</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 35% Lã – 25% Poliéster – 20% Acrílico – 10% Algodão – 10% Poliamida</li></ul>",Chapeus Lisboetas,Inverno,"Fabricado na Itália, Inverno",TRUE,Title,Default Title,Boné – 18074 Boné – 18074K Boné – 18074GC,,shopify,10,deny,manual,29.90,,TRUE,TRUE,,,BOINA PIEMONTE MIX WOOL,FALSE,active
boina-sextavada-com-bombazine,BOINA SEXTAVADA COM BOMBAZINE,"<p>Boina sextavada em bombazine, fabricada na Itália</p><p>Découvrez notre Casquette - 18279K au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Azul, Preto, Bege, Marrom, Cinza, Verde</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 61% Poliéster – 31% Viscose – 8% Elastano , Forro: Poliéster</li></ul>",Chapeus Lisboetas,Inverno,"Fabricado na Itália, Inverno",TRUE,Title,Default Title,Boné – 18279K Boné – 18279MA Boné – 18279MI Boné – 18279BG Boné – 18279G,,shopify,10,deny,manual,45.00,,TRUE,TRUE,,,BOINA SEXTAVADA COM BOMBAZINE,FALSE,active
boina-oitavada-pure-wool,BOINA OITAVADA PURE WOOL,"<p>Boina oitavada em 100% lã pura Shetland, fabricada na Itália</p><p>100% Pure Laine Shetland</p><ul><li><strong>Cor</strong>: Marinha</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Lã</li></ul>",Chapeus Lisboetas,Inverno,"Fabricado na Itália, Inverno, Lã Pura",TRUE,Title,Default Title,18220MI,,shopify,10,deny,manual,45.00,,TRUE,TRUE,,,BOINA OITAVADA PURE WOOL,FALSE,active
viseira-feminina,VISEIRA FEMININA,"<p>COR        
Bege, Castanho, Verde, Azul, Bordo, Marinho

TAMANHO                
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Pacote 24

COMPOSIÇÃO                
69% Poliéster – 31% Algodão / Forro 100% Algodão</p><p>Découvrez notre Casquette - 18474OL = 18519OL au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Pink, verde, preto, azul, bege, camel</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Composição</strong>: 69% Poliéster – 31% Algodão / Forro 100% Algodão</li><li><strong>Vendido Por</strong>: Pacote 24</li></ul>",Chapeus Lisboetas,Cowboy,VISEIRA  FEMININA,TRUE,Title,Default Title,HOLOGRAMME,,shopify,10,deny,manual,8.00,,TRUE,TRUE,,,VISEIRA FEMININA,FALSE,active
boina-oitavada-linho,BOINA OITAVADA LINHO,"<p>Boina oitavada em linho e viscose, leve e fresca para verão</p><p>Paquet de 24 pcs assorties: 4*Noir, 4*Marine, 5*Gris, 4*Vert, 3*Camel, 4*Beige</p><ul><li><strong>Cor</strong>: Sortido</li><li><strong>Tamanho</strong>: 57 , 59</li><li><strong>Vendido Por</strong>: Pacote 24</li><li><strong>Composição</strong>: 85% Viscose – 15% Linho</li></ul>",Chapeus Lisboetas,Verão,Verão 2023,TRUE,Title,Default Title,Boné – 12805,,shopify,10,deny,manual,27.50,,TRUE,TRUE,,,BOINA OITAVADA LINHO,FALSE,active
boina-piemonte-linho-e-algodao,BOINA PIEMONTE LINHO E ALGODÃO,"<p>Boina Piemonte em linho e algodão, fabricada na Itália</p><p>Découvrez notre Casquette - 18110EC au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Cru, Preto, Verde, Azul</li><li><strong>Tamanho</strong>: 54 , 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 50% Algodão – 50% Linho</li></ul>",Chapeus Lisboetas,Verão,Etiqueta: Fabricado em Italia,TRUE,Title,Default Title,Boné – 18110EC Boné – 18110OL,,shopify,10,deny,manual,27.50,,TRUE,TRUE,,,BOINA PIEMONTE LINHO E ALGODÃO,FALSE,active
boina-sextavada-cores-na-pala,BOINA SEXTAVADA CORES NA PALA,"<p>Boina sextavada com detalhes coloridos na pala</p><p>Découvrez notre Casquette - 18474OL = 18519OL au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Verde, Bege, Azul, Cinza</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 50% Polyester – 50% Viscose</li></ul>",Chapeus Lisboetas,Verão,BOINA SEXTAVADA CORES NA PALA,TRUE,Title,Default Title,Boné – 18474,,shopify,10,deny,manual,45.00,,TRUE,TRUE,,,BOINA SEXTAVADA CORES NA PALA,FALSE,active
viseira-feminina-2,VISEIRA FEMININA,"<p>COR        
Bege, Castanho, Verde, Azul, Bordo, Marinho

TAMANHO                
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Pacote 24

COMPOSIÇÃO                
69% Poliéster – 31% Algodão / Forro 100% Algodão</p><p>Découvrez notre Casquette - 18474OL = 18519OL au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Pink, verde, preto, azul, bege, camel</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Composição</strong>: 69% Poliéster – 31% Algodão / Forro 100% Algodão</li><li><strong>Vendido Por</strong>: Pacote 24</li></ul>",Chapeus Lisboetas,Cowboy,VISEIRA  FEMININA,TRUE,Title,Default Title,HOLOGRAMME,,shopify,10,deny,manual,8.00,,TRUE,TRUE,,,VISEIRA FEMININA,FALSE,active
tag-fabricado-na-italia-linho,"Tag: Fabricado na Itália, Linho","<p>COR        
Verde, Azul, Bege

TAMANHO                
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unidade

COMPOSIÇÃO                
100% Linho</p><p>Découvrez notre Casquette - E18107BL au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Verde, Azul, Bege</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unidade</li><li><strong>Composição</strong>: 100% Linho</li></ul>",Chapeus Lisboetas,Verão,"Fabricado na Itália, Linho",TRUE,Title,Default Title,Boné – 18107 Boné – 18515,,shopify,10,deny,manual,47.50,,TRUE,TRUE,,,"Tag: Fabricado na Itália, Linho",FALSE,active
boina-piemonte-algodao,BOINA PIEMONTE ALGODÃO,"<p>Boina Piemonte em algodão, fabricada na Itália</p><p>Découvrez notre Casquette - 18521A au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Azul, Bege, Marinho</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unidade</li><li><strong>Composição</strong>: 100% Algodão</li></ul>",Chapeus Lisboetas,Verão,"Fabricado na Itália, Algodão",TRUE,Title,Default Title,Boné – 18521A,,shopify,10,deny,manual,35.00,,TRUE,TRUE,,,BOINA PIEMONTE ALGODÃO,FALSE,active
boina-sextavada-algodao,BOINA SEXTAVADA ALGODÃO,"<p>Boina sextavada em algodão, leve e versátil</p><p>Paquet de 24 pcs assorties: 2 de chaque couleur</p><ul><li><strong>Couleur</strong>: Assorties</li><li><strong>Taille</strong>: 57, 59</li><li><strong>Vendu Par</strong>: Pack 24</li><li><strong>Composition</strong>: 100% Coton</li></ul>",Chapeus Lisboetas,Verão,"verão, cotton",TRUE,Title,Default Title,Boné – 15266F Boné – 15266C,,shopify,10,deny,manual,16.90,,TRUE,TRUE,,,BOINA SEXTAVADA ALGODÃO,FALSE,active
boina-sextavada-pele,BOINA SEXTAVADA PELE,"<p>Découvrez notre Casquette - 18161N au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Preto, Marrom</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% couro de vaca</li></ul>",Chapeus Lisboetas,Artigos em Pele,"Fabricado na Itália, pele genuina",TRUE,Title,Default Title,Boné – 18161N Boné – 18161M,,shopify,10,deny,manual,89.90,,TRUE,TRUE,,,BOINA SEXTAVADA PELE,FALSE,active
luvas-femininas,LUVAS FEMININAS,"<p>Découvrez notre Gants en cuir classique - 17120 au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Couleur</strong>: Bordeaux, Gris, Marine, Marron, Moutarde, Noir, Orange, Rouge, Taupe</li><li><strong>Taille</strong>: 6.5, 7, 7.5, 8</li><li><strong>Vendu Par</strong>: Unitaire</li><li><strong>Composition</strong>: 100% Cuir de Vachette</li></ul>",Chapeus Lisboetas,Artigos em Pele,Etiqueta: LUVAS,TRUE,Title,Default Title,Gants – 17120,,shopify,10,deny,manual,35.00,,TRUE,TRUE,,,LUVAS FEMININAS,FALSE,active
luvas-masculinas,LUVAS MASCULINAS,"<p>Découvrez notre Gants en cuir classique - 17119 au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Couleur</strong>: Camel, Marine, Marron, Noir</li><li><strong>Taille</strong>: 8, 8.5, 9, 9.5</li><li><strong>Vendu Par</strong>: Unitaire</li><li><strong>Composition</strong>: 100% Cuir d&#x27;Ovin / Doublure : 100% Polyester</li></ul>",Chapeus Lisboetas,Artigos em Pele,Etiqueta: LUVAS,TRUE,Title,Default Title,Gants – 17119,,shopify,10,deny,manual,35.00,,TRUE,TRUE,,,LUVAS MASCULINAS,FALSE,active
carteiras,CARTEIRAS,"<p>Découvrez notre Porte-Monnaie - 5657 au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Couleur</strong>: Bleu, Bordeaux, Cognac, Marron, Noir, Taupe</li><li><strong>Vendu Par</strong>: Unitaire</li></ul>",Chapeus Lisboetas,Artigos em Pele,CARTEIRAS,TRUE,Title,Default Title,Porte-Monnaie – 5657,,shopify,10,deny,manual,35.00,,TRUE,TRUE,,,CARTEIRAS,FALSE,active
chapeu-tiroles-em-cortica,CHAPÉU TIROLÊS EM CORTIÇA,"<p>Boné Vegan estilo basebol de cortiça. 100% Eco-Friendly, produzido em Portugal. Leve,  prático e resistente. Montado - Cortiça com Arte.</p><ul><li><strong>Couleur</strong>: Natural</li><li><strong>Taille</strong>: 54, 55 , 56 , 57 , 58 , 59 , 60 , 61, 62, 63</li><li><strong>Vendu Par</strong>: Unitaire</li><li><strong>Composition</strong>: 100%</li><li><strong>Cor</strong>: Natural</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Composição</strong>: 100%</li><li><strong>Vendido Por</strong>: Unitário</li></ul>",Chapeus Lisboetas,Cortiça,"Chapéu tirolês em cortiça. Na confecção deste chapéu não foi usado nenhum material de origem animal.

– Chapéu tirolês, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.

– Cor da peça em exibição: Natural.",TRUE,Title,Default Title,VELEN,,shopify,10,deny,manual,45.00,,TRUE,TRUE,,,CHAPÉU TIROLÊS EM CORTIÇA,FALSE,active
chapeu-tiroles-em-cortica-2,CHAPÉU TIROLÊS EM CORTIÇA,"<p>Boné Vegan estilo basebol de cortiça. 100% Eco-Friendly, produzido em Portugal. Leve,  prático e resistente. Montado - Cortiça com Arte.</p><ul><li><strong>Couleur</strong>: Natural</li><li><strong>Taille</strong>: 54, 55 , 56 , 57 , 58 , 59 , 60 , 61, 62, 63</li><li><strong>Vendu Par</strong>: Unitaire</li><li><strong>Composition</strong>: 100%</li><li><strong>Cor</strong>: Natural</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Composição</strong>: 100%</li><li><strong>Vendido Por</strong>: Unitário</li></ul>",Chapeus Lisboetas,Cortiça,"Chapéu tirolês em cortiça. Na confecção deste chapéu não foi usado nenhum material de origem animal.

– Chapéu tirolês, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.

– Cor da peça em exibição: Natural.",TRUE,Title,Default Title,VELEN,,shopify,10,deny,manual,45.00,,TRUE,TRUE,,,CHAPÉU TIROLÊS EM CORTIÇA,FALSE,active
chapeu-tiroles-em-cortica-3,CHAPÉU TIROLÊS EM CORTIÇA,"<p>Boné Vegan estilo basebol de cortiça. 100% Eco-Friendly, produzido em Portugal. Leve,  prático e resistente. Montado - Cortiça com Arte.</p><ul><li><strong>Couleur</strong>: Natural</li><li><strong>Taille</strong>: 54, 55 , 56 , 57 , 58 , 59 , 60 , 61, 62, 63</li><li><strong>Vendu Par</strong>: Unitaire</li><li><strong>Composition</strong>: 100%</li><li><strong>Cor</strong>: Natural</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Composição</strong>: 100%</li><li><strong>Vendido Por</strong>: Unitário</li></ul>",Chapeus Lisboetas,Cortiça,"Chapéu tirolês em cortiça. Na confecção deste chapéu não foi usado nenhum material de origem animal.

– Chapéu tirolês, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.

– Cor da peça em exibição: Natural.",TRUE,Title,Default Title,VELEN,,shopify,10,deny,manual,45.00,,TRUE,TRUE,,,CHAPÉU TIROLÊS EM CORTIÇA,FALSE,active
chapeu-tiroles-em-cortica-4,CHAPÉU TIROLÊS EM CORTIÇA,"<p>Boné Vegan estilo basebol de cortiça. 100% Eco-Friendly, produzido em Portugal. Leve,  prático e resistente. Montado - Cortiça com Arte.</p><ul><li><strong>Couleur</strong>: Natural</li><li><strong>Taille</strong>: 54, 55 , 56 , 57 , 58 , 59 , 60 , 61, 62, 63</li><li><strong>Vendu Par</strong>: Unitaire</li><li><strong>Composition</strong>: 100%</li><li><strong>Cor</strong>: Natural</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Composição</strong>: 100%</li><li><strong>Vendido Por</strong>: Unitário</li></ul>",Chapeus Lisboetas,Cortiça,"Chapéu tirolês em cortiça. Na confecção deste chapéu não foi usado nenhum material de origem animal.

– Chapéu tirolês, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.

– Cor da peça em exibição: Natural.",TRUE,Title,Default Title,VELEN,,shopify,10,deny,manual,45.00,,TRUE,TRUE,,,CHAPÉU TIROLÊS EM CORTIÇA,FALSE,active
