Categoria_Excel,Categoria_Sheet,SKU_excel,SKU_sheet,Nome_excel,Nome_sheet,Preço_excel,Preço_sheet,price_match,Links_fornecedor_excel,URL fornecedor,Descrição longa,Notas internas
CHAPÉUS LÃ,CHAPÉUS LÃ,"Chapéu Impermeável – Art 181054 (Pack 12)

Tags: Fabricado na Itália , Lã Esmagável Impermeável","Chapéu Impermeável – Art 181054 (Pack 12)

Tags: Fabricado na Itália , Lã Esmagável Impermeável",CHAPÉUS DE LÃ ITALIANA,CHAPÉUS DE LÃ ITALIANA,67.5,67.5,MATCH,https://hologrammeparis.com/product/chapeau-waterproof-art-181054-pack-12/,https://hologrammeparis.com/product/chapeau-waterproof-art-181054-pack-12/,"Notre version Hologramme Paris du ""Fedora imperméable et indéformable"" Chapeau avec une ceinture marron, 100 g de pure laine Waterproof Crushable.",
CHAPÉUS LÃ,CHAPÉUS LÃ,"Chapéu Impermeável – Art 181056

Tags: Fabricado na Itália , Lã,  Esmagável,  Impermeável","Chapéu Impermeável – Art 181056

Tags: Fabricado na Itália , Lã,  Esmagável,  Impermeável",CHAPÉUS DE LÃ IMPERMEÁVEL,CHAPÉUS DE LÃ IMPERMEÁVEL,49.9,49.9,MATCH,https://hologrammeparis.com/product/chapeau-waterproof-art-181056-pack-12/,https://hologrammeparis.com/product/chapeau-waterproof-art-181056-pack-12/,"Paquet de 12 pcs assorties: 2*55, 2*56, 3*57, 3*58, 2*59 (ou 1*60 et 2*58) Pour l’achat à l’unité de ce produit, c’est ici: https://hologrammeparis.com/product/chapeau-art-181056/",
À PROVA D´ÁGUA,À PROVA D´ÁGUA,Chapéu – 49103,Chapéu – 49103,CHAPÉUS ALGODÃO ENCERADO,CHAPÉUS ALGODÃO ENCERADO,45.0,45.0,MATCH,https://hologrammeparis.com/product/chapeau-49103/,https://hologrammeparis.com/product/chapeau-49103/,Découvrez notre Chapeau - 49103 au prix de grossiste pour votre boutique sur Hologramme Paris.,
—,GORROS,,Chapéu – 49171,,CHAPÉU CHAPKA IMPERMEÁVEL,,2.0,SHEET_ONLY,,https://hologrammeparis.com/product/toque-49171-polaire/,Fausse fourrure en 100% Modacrylique Nous essayons de mettre 6 couleurs différentes par pack.,
CHAPÉUS LÃ,CHAPÉUS LÃ,Chapéu – Art 970 (Pack 12),Chapéu – Art 970 (Pack 12),CHAPÉU DE LÃ TRILBY,CHAPÉU DE LÃ TRILBY,29.9,29.9,MATCH,https://hologrammeparis.com/product/chapeau-art-970-pack-12/,https://hologrammeparis.com/product/chapeau-art-970-pack-12/,"Paquet de 12 pcs assorties: 2*55, 2*56, 3*57, 3*58, 2*59 (ou 1*60 et 2*58) Pour l’achat à l’unité de ce produit, c’est ici: https://hologrammeparis.com/product/chapeau-art-970/",
ARTIGOS EM PELE,ARTIGOS EM PELE,Gants – 17119,Gants – 17119,LUVAS MASCULINAS,LUVAS MASCULINAS,35.0,35.0,MATCH,https://hologrammeparis.com/product/gants-17119n/,https://hologrammeparis.com/product/gants-17119n/,Découvrez notre Gants en cuir classique - 17119 au prix de grossiste pour votre boutique sur Hologramme Paris.,
ARTIGOS EM PELE,ARTIGOS EM PELE,Gants – 17120,Gants – 17120,LUVAS FEMININAS,LUVAS FEMININAS ,35.0,35.0,MATCH,https://hologrammeparis.com/product/gants-17120n/?attribute_pa_couleur=marron,https://hologrammeparis.com/product/gants-17120n/?attribute_pa_couleur=marron,Découvrez notre Gants en cuir classique - 17120 au prix de grossiste pour votre boutique sur Hologramme Paris.,
BOINAS INVERNO,BOINAS INVERNO,"Gorro – 344974

gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira","Gorro – 344974

gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira",CHAPÉUS MIKI / MARINHEIRO,CHAPÉUS MIKI / MARINHEIRO,24.9,24.9,MATCH,https://hologrammeparis.com/product/bonnet-344974/?attribute_pa_couleur=gris-fonce,https://hologrammeparis.com/product/bonnet-344974/?attribute_pa_couleur=gris-fonce,Découvrez notre Bonnet - 4974 Laine au prix de grossiste pour votre boutique sur Hologramme Paris.,
FEMININO,FEMININO,"Gorro – 5942F
Bonnet – 5942C","Gorro – 5942F
Bonnet – 5942C",CHAPÉU LÃ HARMONICO,CHAPÉU LÃ HARMONICO,19.9,19.9,MATCH,https://hologrammeparis.com/product/bonnet-5942f/,https://hologrammeparis.com/product/bonnet-5942f/,"Paquet de 12 pcs assorties: 1*Prune, 2*Bordeaux, 1*Marron, 3*Noir, 1*Camel, 1*Gris Fonce, 2*Marine, 1*Kaki",
BOINAS INVERNO,BOINAS INVERNO,"Gorro – Miki 22100

gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira","Gorro – Miki 22100

gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira",CHAPÉUS MIKI / MARINHEIRO,CHAPÉUS MIKI / MARINHEIRO,24.9,24.9,MATCH,https://hologrammeparis.com/product/bonnet-22100/,https://hologrammeparis.com/product/bonnet-22100/,Notre version Hologramme Paris du « Miki Docker » Bonnet style breton en laine avec patte de serrage arrière Sobre et sans logo apparent,
—,BOINAS INVERNO,,HOLOGRAMME,,BOINA SEXTAVADA PIERRE CARDIN,,65.0,SHEET_ONLY,,https://hologrammeparis.com/fr/product/casquette-pierre-cardin-noir/,Découvrez notre Casquette - Pierre Cardin Noir au prix de grossiste pour votre boutique sur Hologramme Paris.,
—,FEMININO,,Palha – 12403,, CHAPÉUS DE PALHA FEMININOS,,3.0,SHEET_ONLY,,https://hologrammeparis.com/product/paille-12403/,,
PALHA,PALHA,Palha – 941216 Couro,Palha – 941216 Couro,CHAPÉU DE PALHA NATURAL,CHAPÉU DE PALHA NATURAL,35.0,35.0,MATCH,https://hologrammeparis.com/product/paille-941216-cuir/,https://hologrammeparis.com/product/paille-941216-cuir/,"Paquet de 30 pcs assorties: 3*55, 4*56, 6*57, 7*58, 5*59, 3*60, 2*61",
PANAMÁ,PANAMÁ,Panamá – 201752,Panamá – 201752,CHAPEU PANAMÁ ABA CURTA,CHAPEU PANAMÁ ABA CURTA,67.5,67.5,MATCH,https://hologrammeparis.com/product/panama-201752-ecru/,https://hologrammeparis.com/product/panama-201752-ecru/,Découvrez notre Panama - 201752-Ecru au prix de grossiste pour votre boutique sur Hologramme Paris.,
PANAMÁ,PANAMÁ,Panamá – 201754,Panamá – 201754,CHAPEU PANAMÁ,CHAPEU PANAMÁ,67.5,67.5,MATCH,https://hologrammeparis.com/product/panama-201754/,https://hologrammeparis.com/product/panama-201754/,Découvrez notre Panama - 201754 au prix de grossiste pour votre boutique sur Hologramme Paris.,
PANAMÁ,PANAMÁ,Panamá – 931,Panamá – 931,CHAPEU PANAMÁ AJUSTÁVEL,CHAPEU PANAMÁ AJUSTÁVEL,67.5,67.5,MATCH,https://hologrammeparis.com/product/panama-art-931-japonais/,https://hologrammeparis.com/product/panama-art-931-japonais/,Découvrez notre Panama - Art 931 Japonais au prix de grossiste pour votre boutique sur Hologramme Paris.,
ARTIGOS EM PELE,ARTIGOS EM PELE,Porte-Monnaie – 5657,Porte-Monnaie – 5657,CARTEIRAS,CARTEIRAS,35.0,35.0,MATCH,https://hologrammeparis.com/product/porte-monnaie-5657/,https://hologrammeparis.com/product/porte-monnaie-5657/,Découvrez notre Porte-Monnaie - 5657 au prix de grossiste pour votre boutique sur Hologramme Paris.,
—,À PROVA D´ÁGUA,,SOLID,,CHAPEU DOBRAVEL,,55.0,SHEET_ONLY,,,,
—,CHAPÉUS LÃ,,"Tags: Fabricado na Itália , Lã Pura",,CHAPEU FEDORA INDIANA,,35.0,SHEET_ONLY,,https://hologrammeparis.com/product/chapeau-art-02-pack-12/,"Notre version Hologramme Paris du ""Fedora classique"" Chapeau avec une ceinture contrastante marron, 100 g de pure laine. Sobre et sans logo apparent. 100% Laine et fabrication italienne",
—,CORTIÇA,,VELEN,,BASEBALL CAP,,29.9,SHEET_ONLY,,https://www.montado.pt/produto/bone-de-cortica-natural,"Boné Vegan estilo basebol de cortiça. 100% Eco-Friendly, produzido em Portugal. Leve,  prático e resistente. Montado - Cortiça com Arte.",
—,CHAPÉUS EM TECIDO,,bucket-hat-reversivel,,BUCKET HAT REVERSIVEL,,19.9,SHEET_ONLY,,,,
—,CERIMÓNIA,,casquete,,CASQUETE,,1.0,SHEET_ONLY,,,,
—,DIVERSOS,,"chapeu colonial
pith helmet",,CHAPEU COLONIAL,,45.0,SHEET_ONLY,,,,
—,ARTIGOS EM PELE,,chapeu-australiano,,CHAPEU AUSTRALIANO,,67.5,SHEET_ONLY,,,,
—,CERIMÓNIA,,chapeu-cerimonia-flores,,CHAPÉU CERIMÓNIA FLORES,,3.0,SHEET_ONLY,,,,
—,CERIMÓNIA,,chapeu-cerimonia-perolas,,CHAPÉU CERIMÓNIA PERÓLAS,,2.0,SHEET_ONLY,,,,
—,FEMININO,,chapeu-cloche,,CHAPEU CLOCHE,,35.0,SHEET_ONLY,,,,
—,COWBOY,,chapeu-cowboy,,CHAPÉU COWBOY,,1.0,SHEET_ONLY,,,,
