sheet,sku,price,Sheet,SKU,Preço,_merge,price_diff
CERIMÓNIA,HOLOGRAMME,14.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-51.0
CERIMÓNIA,HOLOGRAMME,14.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,2.0
CERIMÓNIA,HOLOGRAMME,14.0,VISEIRAS,HOLOGRAMME,2.0,both,12.0
CERIMÓNIA,HOLOGRAMME,14.0,COWBOY,HOLOGRAMME,8.0,both,6.0
CERIMÓNIA,HOLOGRAMME,16.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-49.0
CERIMÓNIA,HOLOGRAMME,16.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,4.0
CERIMÓNIA,HOLOGRAMME,16.0,VISEIRAS,HOLOGRAMME,2.0,both,14.0
CERIMÓNIA,HOLOGRAMME,16.0,COWBOY,HOLOGRAMME,8.0,both,8.0
CERIMÓNIA,HOLOGRAMME,18.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-47.0
CERIMÓNIA,HOLOGRAMME,18.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,6.0
CERIMÓNIA,HOLOGRAMME,18.0,VISEIRAS,HOLOGRAMME,2.0,both,16.0
CERIMÓNIA,HOLOGRAMME,18.0,COWBOY,HOLOGRAMME,8.0,both,10.0
CERIMÓNIA,HOLOGRAMME,20.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-45.0
CERIMÓNIA,HOLOGRAMME,20.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,8.0
CERIMÓNIA,HOLOGRAMME,20.0,VISEIRAS,HOLOGRAMME,2.0,both,18.0
CERIMÓNIA,HOLOGRAMME,20.0,COWBOY,HOLOGRAMME,8.0,both,12.0
PANAMÁ,HOLOGRAMME,4.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-61.0
PANAMÁ,HOLOGRAMME,4.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-8.0
PANAMÁ,HOLOGRAMME,4.0,VISEIRAS,HOLOGRAMME,2.0,both,2.0
PANAMÁ,HOLOGRAMME,4.0,COWBOY,HOLOGRAMME,8.0,both,-4.0
BONÉS,HOLOGRAMME,2.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-63.0
BONÉS,HOLOGRAMME,2.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-10.0
BONÉS,HOLOGRAMME,2.0,COWBOY,HOLOGRAMME,8.0,both,-6.0
BONÉS,HOLOGRAMME,4.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-61.0
BONÉS,HOLOGRAMME,4.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-8.0
BONÉS,HOLOGRAMME,4.0,VISEIRAS,HOLOGRAMME,2.0,both,2.0
BONÉS,HOLOGRAMME,4.0,COWBOY,HOLOGRAMME,8.0,both,-4.0
BONÉS,HOLOGRAMME,7.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-58.0
BONÉS,HOLOGRAMME,7.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-5.0
BONÉS,HOLOGRAMME,7.0,VISEIRAS,HOLOGRAMME,2.0,both,5.0
BONÉS,HOLOGRAMME,7.0,COWBOY,HOLOGRAMME,8.0,both,-1.0
BONÉS,HOLOGRAMME,9.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-56.0
BONÉS,HOLOGRAMME,9.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-3.0
BONÉS,HOLOGRAMME,9.0,VISEIRAS,HOLOGRAMME,2.0,both,7.0
BONÉS,HOLOGRAMME,9.0,COWBOY,HOLOGRAMME,8.0,both,1.0
COWBOY,HOLOGRAMME,4.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-61.0
COWBOY,HOLOGRAMME,4.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-8.0
COWBOY,HOLOGRAMME,4.0,VISEIRAS,HOLOGRAMME,2.0,both,2.0
COWBOY,HOLOGRAMME,4.0,COWBOY,HOLOGRAMME,8.0,both,-4.0
COWBOY,HOLOGRAMME,6.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-59.0
COWBOY,HOLOGRAMME,6.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-6.0
COWBOY,HOLOGRAMME,6.0,VISEIRAS,HOLOGRAMME,2.0,both,4.0
COWBOY,HOLOGRAMME,6.0,COWBOY,HOLOGRAMME,8.0,both,-2.0
COWBOY,HOLOGRAMME,8.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-57.0
COWBOY,HOLOGRAMME,8.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-4.0
COWBOY,HOLOGRAMME,8.0,VISEIRAS,HOLOGRAMME,2.0,both,6.0
CORTIÇA,MONTADO,3.0,,,,left_only,
CORTIÇA,MONTADO,6.0,,,,left_only,
,,,FEMININO,Palha – 12403,3.0,right_only,
,,,FEMININO,Palha – 12511,,right_only,
,,,CERIMÓNIA,Palha – 12511,,right_only,
,,,FEMININO,Palha – 12512,,right_only,
,,,CERIMÓNIA,Palha – 12512,,right_only,
,,,FEMININO,Palha – 12517,,right_only,
,,,CERIMÓNIA,Palha – 12517,,right_only,
,,,FEMININO,Palha – 12673,,right_only,
,,,CERIMÓNIA,Palha – 12673,,right_only,
,,,CERIMÓNIA,Palha – 937,,right_only,
,,,PANAMÁ,Panamá – 201752,67.5,right_only,
,,,PANAMÁ,Panamá – 931,67.5,right_only,
,,,À PROVA D´ÁGUA,SOLID,55.0,right_only,
,,,À PROVA D´ÁGUA,SOLID,55.0,right_only,
,,,PROTEÇÃO SOLAR,SOLID,27.5,right_only,
,,,PROTEÇÃO SOLAR,SOLID,19.9,right_only,
CORTIÇA,VELEN,29.9,CORTIÇA,VELEN,35.0,both,-5.100000000000001
CORTIÇA,VELEN,29.9,CORTIÇA,VELEN,65.0,both,-35.1
CORTIÇA,VELEN,29.9,CORTIÇA,VELEN,35.0,both,-5.100000000000001
CORTIÇA,VELEN,29.9,CORTIÇA,VELEN,59.9,both,-30.0
CORTIÇA,VELEN,29.9,CORTIÇA,VELEN,35.0,both,-5.100000000000001
CORTIÇA,VELEN,29.9,CORTIÇA,VELEN,45.0,both,-15.100000000000001
CORTIÇA,VELEN,65.0,CORTIÇA,VELEN,29.9,both,35.1
CORTIÇA,VELEN,65.0,CORTIÇA,VELEN,35.0,both,30.0
CORTIÇA,VELEN,65.0,CORTIÇA,VELEN,35.0,both,30.0
CORTIÇA,VELEN,65.0,CORTIÇA,VELEN,59.9,both,5.100000000000001
CORTIÇA,VELEN,65.0,CORTIÇA,VELEN,35.0,both,30.0
CORTIÇA,VELEN,65.0,CORTIÇA,VELEN,45.0,both,20.0
CORTIÇA,VELEN,35.0,CORTIÇA,VELEN,29.9,both,5.100000000000001
CORTIÇA,VELEN,35.0,CORTIÇA,VELEN,65.0,both,-30.0
CORTIÇA,VELEN,35.0,CORTIÇA,VELEN,59.9,both,-24.9
CORTIÇA,VELEN,35.0,CORTIÇA,VELEN,45.0,both,-10.0
,,,FEMININO,Viseira – 23119,,right_only,
,,,CERIMÓNIA,Viseira – 23119,,right_only,
,,,GORROS,bonnet-pierre-cardin,,right_only,
,,,CHAPÉUS EM TECIDO,bucket-hat-reversivel,19.9,right_only,
,,,CERIMÓNIA,casquete,1.0,right_only,
,,,DIVERSOS,"chapeu colonial
pith helmet",45.0,right_only,
,,,ARTIGOS EM PELE,chapeu-australiano,67.5,right_only,
,,,CERIMÓNIA,chapeu-cerimonia-flores,3.0,right_only,
,,,CERIMÓNIA,chapeu-cerimonia-perolas,2.0,right_only,
,,,FEMININO,chapeu-cloche,35.0,right_only,
,,,COWBOY,chapeu-cowboy,1.0,right_only,
,,,COWBOY,chapeu-cowboy,2.0,right_only,
