sheet,idx,brand,name,info,price,sku,description,extra,colors
BOINAS INVERNO,27,HOLOGRAMME,BOINA HARRIS TWEED QUADRADOS,Harris Tweed 100% lã virgem,85.0,Boné – 18500MI,"Tags: Fabricado na Itália , Harris Tweed , Inverno , Lã Pura","COR        
Marinho

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
100% Lã",nan
BOINAS INVERNO,85,Boné – 18501MI,"Tags: Fabricado na Itália , Harris Tweed , Inverno , Lã Pura","COR        
Marinho

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
100% Lã",29.0,HOLOGRAMME,BOINA PIEMONTE MIX WOOL,nan,https://hologrammeparis.com/product/casquette-18074bl/
BOINAS INVERNO,30,HOLOGRAMME,BOINA SEXTAVADA COM BOMBAZINE,nan,45.0,"Boné – 18279K
Boné – 18279MA
Boné – 18279MI
Boné – 18279BG
Boné – 18279G","Tag: Fabricado na Itália , Inverno","COR        
Azul, Preto, Bege, Marrom, Cinza, Verde

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO    
61% Poliéster – 31% Viscose – 8% Elastano , Forro: Poliéster","https://hologrammeparis.com/product/casquette-18279mi/
https://hologrammeparis.com/product/casquette-18279ma/
https://hologrammeparis.com/product/casquette-18279bg/"
BOINAS INVERNO,29.9,Boné – 22174,"Tags: boina oitavada, Inverno , Mistura de lã","COR        
Preto

TAMANHO        
57 , 59

VENDIDO POR        
Pacote 12

COMPOSIÇÃO                
50% Laine – 50% Polyester",33.0,HOLOGRAMME,BOINA OITAVADA PURE WOOL,nan,https://hologrammeparis.com/product/casquette-18220mi-new/
BOINAS VERÃO,2,HOLOGRAMME,BOINA OITAVADA LINHO,nan,27.5,Boné – 12805,Tags: Verão 2023,"COR        
Sortido

TAMANHO        
57 , 59

VENDIDO POR        
Pacote 24

COMPOSIÇÃO        
85% Viscose – 15% Linho","Pacote de 24 peças variadas:
4*Preto, 4*Marinho, 5*Cinza, 4*Verde, 3*Camelo, 4*Bege"
BOINAS VERÃO,27.5,"Boné – 18110EC
Boné – 18110OL",Etiqueta: Fabricado em Italia,"COR        
Cru, Preto, Verde, Azul

TAMANHO        
54 , 55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
50% Algodão – 50% Linho",8.0,HOLOGRAMME,BOINA SEXTAVADA CORES NA PALA,nan,https://hologrammeparis.com/product/casquette-18474ol/
BOINAS VERÃO,11,HOLOGRAMME,BOINA PIEMONTE RISCAS,nan,35.0,Boné – 18410,"Tag: Verão , Fabricado na Itália","COR        
Bege, Castanho, Verde, Azul, Bordo, Marinho

TAMANHO                
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Pacote 24

COMPOSIÇÃO                
69% Poliéster – 31% Algodão / Forro 100% Algodão","https://hologrammeparis.com/product/casquette-18410bg/
https://hologrammeparis.com/product/casquette-18410ol/
https://hologrammeparis.com/product/casquette-18410bl/
https://hologrammeparis.com/product/casquette-18410bo/
https://hologrammeparis.com/fr/product/casquette-18410mi/"
BOINAS VERÃO,14,HOLOGRAMME,BOINA PIEMONTE ALGODÃO,nan,35.0,Boné – 18521A,"Tag: Fabricado na Itália, Algodão","COR        
Azul, Bege, Marinho

TAMANHO                
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unidade

COMPOSIÇÃO                
100% Algodão",nan
BOINAS VERÃO,17,HOLOGRAMME,BOINA OITAVADA LINHO E ALGODÃO,nan,37.5,Casquette – 18534N,"Étiquette : verão, Fabriqué en Italie, Linho, algodão","Couleur        
Noir

Taille        
55, 56, 57, 58, 59, 60, 61

Vendu par        
Unitaire

Composition        
50% Coton – 50% Lin",nan
ARTIGOS EM PELE,31,HOLOGRAMME,BOINA SEXTAVADA PELE,nan,89.9,"Boné – 18161N
Boné – 18161M","Tag: Fabricado na Itália , pele genuina","Cor	
Preto, Marrom

Tamanho	
55 , 56 , 57 , 58 , 59 , 60 , 61

Vendido por	
Unitário

Composição	
100% couro de vaca",https://hologrammeparis.com/product/casquette-18161m/
ARTIGOS EM PELE,35,Gants – 17120,Etiqueta: LUVAS,"Couleur        
Bordeaux, Gris, Marine, Marron, Moutarde, Noir, Orange, Rouge, Taupe

Taille        
6.5, 7, 7.5, 8

Vendu par        
Unitaire

Composition        
100% Cuir de Vachette",2.0,HOLOGRAMME,LUVAS MASCULINAS,nan,https://hologrammeparis.com/product/gants-17119n/
ARTIGOS EM PELE,3,HOLOGRAMME,CARTEIRAS,nan,35.0,Porte-Monnaie – 5657,Tags: CARTEIRAS,"Couleur	
Bleu, Bordeaux, Cognac, Marron, Noir, Taupe

Vendu par	
Unitaire",nan
CORTIÇA,1,MONTADO,BASEBALL CAP,nan,29.9,VELEN,"Boné Vegan estilo basebol de cortiça. Na confeção deste boné não foi usado nenhum material de origem animal. 

- Produto Vegan produzido em Portugal com cortiça Portuguesa. 

- Eco-Friendly, duradouro, repelente da água e suave ao toque.

- Pode ser limpo com água e sabão neutro.","Cor        
Natural

Tamanho        
55 , 56 , 57 , 58 , 59 , 60 , 61

Vendido por        
Unitário

Composição        
100% cortiça

Dimensões (C x L x A) 
18 × 6 × 22 cm",Etiqueta: Fabricado em Portugal
CORTIÇA,35,VELEN,"Boina bico de pato com rede lateral, em cortiça. Na confecção desta boina não foi usado nenhum material de origem animal.

– Boina bico de pato, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.","Couleur        
Natural, Castanho

Taille        
55 , 56 , 57 , 58 , 59 , 60 , 61

Vendu par        
Unitaire

Composition        
100% Cortiça

Dimensões 18 × 6 × 22 cm",3.0,MONTADO,BOINA CORTIÇA,nan,https://vips-velen.pt/?product=boina-bico-de-pato-com-rede-lateral-em-cortica
CORTIÇA,4,MONTADO,CHAPEU COWBOY EM CORTIÇA,nan,65.0,VELEN,"Na confecção deste chapéu não foi usado nenhum material de origem animal.

– Chapéu cowboy, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.","Couleur        
Natural

Taille        
55 , 56 , 57 , 58 , 59 , 60 , 61

Vendu par        
Unitaire

Composition        
100% Cortiça

Dimensões 18 × 6 × 22 cm",Etiqueta: Fabricado em Portugal
CORTIÇA,35,VELEN,"Panamá em cortiça. Na confecção deste panamá não foi usado nenhum material de origem animal.

– Panamá, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.","Couleur        
Natural

Taille        
54, 55 , 56 , 57 , 58 , 59 , 60 , 61, 62, 63

Vendu par        
Unitaire

Composition        
100% Cortiça 
Lining: 100% cotton.",6.0,MONTADO,CHAPÉU DE COWBOY EM CORTIÇA COM REDE,nan,https://vips-velen.pt/?product=chapeu-de-cowboy-em-cortica-com-rede-beige
CORTIÇA,7,MONTADO,CHAPÉU DE COWBOY EM CORTIÇA COM REDE,nan,35.0,VELEN,"Chapéu safari em cortiça. Na confecção deste chapéu não foi usado nenhum material de origem animal.

– Chapéu safari, 100% cortiça

– Produto sustentável.

– Produto produzido em Portugal com cortiça Portuguesa.

– Duradouro, eco-Friendly e resistente à água.

– Pode ser limpo com água e sabão neutro.

– Cor da peça em exibição: Natural.","Couleur        
Natural

Taille        
54, 55 , 56 , 57 , 58 , 59 , 60 , 61, 62, 63

Vendu par        
Unitaire

Composition        
100% Cortiça 
Lining: 100% cotton.",Etiqueta: Fabricado em Portugal
GORROS,,Chapka – 6064,Tags: Fabricado na China,"COR	
Bege , Camelo , Cáqui , Marrom , Preto

TAMANHO	
57 , 59

VENDIDO POR	
Pacote 12

COMPOSIÇÃO	
100% Poliéster / Forro: 100% Poliéster",2.0,HOLOGRAMME,CHAPÉU CHAPKA IMPERMEÁVEL,nan,https://hologrammeparis.com/product/toque-49171-polaire/
CHAPÉUS LÃ,1,HOLOGRAMME,CHAPEU FEDORA INDIANA,nan,35.0,"Tags: Fabricado na Itália , Lã Pura","Nossa versão Hologram Paris do “Fedora clássico”

Chapéu com faixa marrom contrastante, 100 g de pura lã.

Sóbrio e sem logótipo visível.

100% lã e fabricação italiana","COR        
Sortido

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60 , 61 , 62

VENDIDO POR        
Pacote 12

COMPOSIÇÃO        
100% Lã","Bege , Branco , Verde -azulado , Azul Céu , Azul Royal , Borgonha , Camelo , Castor , Creme , Cinza , Cinza Claro , Índigo , Cáqui , Marinho , Marrom , Mostarda , Preto , Laranja , Rosa , Vermelho , Ferrugem , Rubino , Verde Escuro , Rosa Velha, Bordeaux , Cinza Escuro , Azul Marinho"
CHAPÉUS LÃ,35,"Tags: Fabricado na Itália , Lã Pura","Nossa versão Hologram Paris do “Fedora clássico”

Chapéu com fita tom sobre tom, 100 g de pura lã.

Sóbrio e sem logótipo visível.

100% lã e fabricação italiana","COR	
Sortido

TAMANHO	
55 , 56 , 57 , 58 , 59 , 60 , 61 , 62

VENDIDO POR	
Pacote 12

COMPOSIÇÃO	
100% Lã",3.0,HOLOGRAMME,CHAPÉUS DE LÃ ITALIANA,"2*55, 2*56, 3*57, 3*58, 2*59 (ou 1*60 e 2*58)",https://hologrammeparis.com/product/chapeau-waterproof-art-181054-pack-12/
CHAPÉUS LÃ,4,HOLOGRAMME,CHAPÉU DE LÃ TRILBY,nan,29.9,Chapéu – Art 970 (Pack 12),"Tags: Fabricado na Itália , Lã Pura","COR        
Sortido

TAMANHO        
54, 55 , 56 , 57 , 58 , 59 , 60

VENDIDO POR        
Pacote 12

COMPOSIÇÃO        
100% Lã","Azul Pato , Azul Céu , Azul Royal , Borgonha , Camelo , Castor , Cinza Claro , Cáqui , Marinho , Marrom , Mostarda , Preto , Rosa , Vermelho , Ferrugem , Rubino , Verde, 	
Bordeaux , Cinza , Cinza Claro , Cinza Escuro , Cáqui , Azul Marinho"
CHAPÉUS LÃ,6,HOLOGRAMME,CHAPÉUS DE LÃ IMPERMEÁVEL,nan,49.9,"Chapéu Impermeável – Art 181056

Tags: Fabricado na Itália , Lã,  Esmagável,  Impermeável",nan,"COR        
Sortido

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60

VENDIDO POR        
Pacote 12

COMPOSIÇÃO        
100% Lã","Pato Azul , Borgonha , Camelo , Castor , Cinza , Cáqui , Marinho , Marrom , Mostarda , Preto , Rosa , Vermelho , Ferrugem , Rubino , Verde Escuro"
FEMININO,"Tag: Mistura de angorá , Fabricado na China , Inverno 2022",Boné – 13156,nan,nan,2.0,HOLOGRAMME,BONÉS DE INVERNO PARA MULHERES,nan,https://hologrammeparis.com/product/casquette-12463/
FEMININO,,Palha – 12403,"Tags: Fabricado na China , Tamanho ajustável","COR        
Camel , Marrom , Mostarda , Rosa , Verde

TAMANHO        
Tamanho único

VENDIDO POR        
Pacote 15",4.0,HOLOGRAMME,CHAPÉUS DE PALHA FEMININOS,nan,https://hologrammeparis.com/product/paille-12673/
FEMININO,5,HOLOGRAMME,BOINA COM PALA ALGODÃO,nan,24.9,Boné – 12625,nan,"COR        
Bege , Branco , Camelo , Cinza , Marinho , Vermelho

TAMANHO        
56 , 58

VENDIDO POR        
Pacote 24

COMPOSIÇÃO        
7% Viscose – 33% Algodão – 60% Poliéster","Pacote de 24 peças variadas:
2 * vermelho, 2 * verde, 2 * azul celeste, 4 * camelo, 4 * cru, 3 * branco, 3 * bege, 3 * marinho, 1 * cinza"
FEMININO,Etiqueta: Fabricado na China,Boné – 2018016,nan,"COR        
Bordeaux , Coral , Cru , Cinza , Cáqui , Preto

TAMANHO        
55 , 57

VENDIDO POR        
Pacote 24

COMPOSIÇÃO        
100% Algodão / Forro: 100% Poliéster",7.0,HOLOGRAMME,BONÉS DE VERÃO PARA MULHERES,nan,https://hologrammeparis.com/product/visiere-23119/
FEMININO,NÃO TEM MAIS NO ESTOQUE,Boné – 2018039,"Tags: Fabricado na China , Mistura de lã","COR	
Azul , Cinza , Cinza Escuro , Preto , Vermelho , Verde

TAMANHO	
56 , 58

VENDIDO POR	
Pacote 12

COMPOSIÇÃO	
5% Acrílico – 7% Fibra – 40% Lã – 48% Poliéster",14.0,HOLOGRAMME,BOINA COM PALA INVERNO,nan,https://hologrammeparis.com/product/casquette-22103/
FEMININO,,Casquette – 12448,"Fabricado na China, Tamanho ajustável","COR        
2*Mostarda, 2*Marrom, 3*Bordéus, 3*Marinho, 3*Verde, 3*Azul, 3*Taupe, 5*Preto

TAMANHO        
Unico com ajuste (elástico)

COMPOSIÇÃO     
100% PU",16.0,HOLOGRAMME,CHAPÉUS DE PALHA FEMININOS,nan,https://hologrammeparis.com/product/paille-12511/
FEMININO,"Tags: Fabricado na China , Tamanho ajustável",Palha – 12512,"Chapéu luxuoso tricotado em palha de ráfia extrafina .
Sólido, dobrável e intemporal.

Palha 100% Ráfia","COR        
Preto, Verde, Natural

TAMANHO        
Tamanho único

VENDIDO POR        
Unitário

COMPOSIÇÃO        
Palha 100% natural",18.0,HOLOGRAMME,CHAPÉUS DE PALHA FEMININOS,nan,https://hologrammeparis.com/product/paille-12517/
FEMININO,20,HOLOGRAMME,BOINA CLÁSSICA / BERET,nan,14.9,Boina Clássica – 5020,"Nossa versão holográfica parisiense da “boina lisa clássica”

Sóbrio, intemporal e sem logótipo visível.

75g de lã escovada e raspada","VENDIDO POR	
Unitário

COMPOSIÇÃO	
100% Lã",nan
FEMININO,19.9,"Gorro – 5942F
Bonnet – 5942C",Tags:  Lã Pura,"COR        
Sortido

TAMANHO        
UNICO

VENDIDO POR        
Pacote 12

COMPOSIÇÃO        
100% Lã",21.0,HOLOGRAMME,BOINA COM PALA PIED POULE,nan,https://hologrammeparis.com/product/casquette-22238/
CERIMÓNIA,"Tags: Fabricado na China , Tamanho ajustável",Palha – 12673,"Nossa versão Hologram Paris do chapéu de palha em forma de sino.

Chapéu luxuoso tricotado em palha de ráfia extrafina .
Sólido, dobrável e intemporal.

Palha 100% Ráfia","COR        
Natural, Preto

TAMANHO        
Tamanho único

VENDIDO POR        
Unitário

COMPOSIÇÃO        
Palha 100% natural",5.0,HOLOGRAMME,BONÉS DE VERÃO PARA MULHERES,nan,https://hologrammeparis.com/product/casquette-12625/
CERIMÓNIA,Etiqueta: Fabricado na China,Boné – 2018016,nan,"COR        
Bordeaux , Coral , Cru , Cinza , Cáqui , Preto

TAMANHO        
55 , 57

VENDIDO POR        
Pacote 24

COMPOSIÇÃO        
100% Algodão / Forro: 100% Poliéster",7.0,HOLOGRAMME,BONÉS DE VERÃO PARA MULHERES,nan,https://hologrammeparis.com/product/visiere-23119/
CERIMÓNIA,NÃO TEM MAIS NO ESTOQUE,Boné – 2018039,"Tags: Fabricado na China , Mistura de lã","COR	
Azul , Cinza , Cinza Escuro , Preto , Vermelho , Verde

TAMANHO	
56 , 58

VENDIDO POR	
Pacote 12

COMPOSIÇÃO	
5% Acrílico – 7% Fibra – 40% Lã – 48% Poliéster",14.0,HOLOGRAMME,BONÉS DE INVERNO PARA MULHERES,nan,https://hologrammeparis.com/product/casquette-22103/
CERIMÓNIA,,Casquette – 12448,"Fabricado na China, Tamanho ajustável","COR        
2*Mostarda, 2*Marrom, 3*Bordéus, 3*Marinho, 3*Verde, 3*Azul, 3*Taupe, 5*Preto

TAMANHO        
Unico com ajuste (elástico)

COMPOSIÇÃO     
100% PU",16.0,HOLOGRAMME,CHAPÉUS DE PALHA FEMININOS,nan,https://hologrammeparis.com/product/paille-12511/
CERIMÓNIA,"Tags: Fabricado na China , Tamanho ajustável",Palha – 12512,"Nossa versão Hologram Paris do chapéu de palha em forma de sino.

Chapéu luxuoso tricotado em palha de ráfia extrafina .
Sólido, dobrável e intemporal.

Palha 100% Ráfia","COR        
Preto, Verde, Natural

TAMANHO        
Tamanho único

VENDIDO POR        
Unitário

COMPOSIÇÃO        
Palha 100% natural",18.0,HOLOGRAMME,CHAPÉUS DE PALHA FEMININOS,nan,https://hologrammeparis.com/product/paille-12517/
CERIMÓNIA,"Tags: Fabricado na China , Tamanho ajustável",Palha – 937,nan,"COR        
Bege , Cáqui , Marinho , Preto , Laranja , Ferrugem

TAMANHO        
Tamanho único

VENDIDO POR        
Unitário

COMPOSIÇÃO        
Palha 100% natural",20.0,HOLOGRAMME,BOINA CLÁSSICA / BERET,nan,https://hologrammeparis.com/product/beret-5020/?attribute_pa_couleur=beige-na1302
PALHA,4,HOLOGRAMME,CHAPÉU DE PALHA NATURAL,nan,35.0,Palha – 941216 Couro,Rótulo: Fabricado na Itália,"COR        
Natural

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Pacote 15

COMPOSIÇÃO        
Palha 100% natural","3*55, 4*56, 6*57, 7*58, 5*59, 3*60, 2*61"
PANAMÁ,2,HOLOGRAMME,CHAPEU PANAMÁ,nan,67.5,Panamá – 201754,"A versão revisitada do Panamá equatoriano, mais sólida, dobrável e moderna.

Panamá Panasoft em papel 100% japonês .

Fabricado na Itália.","COR        
Branco

TAMANHO        
54, 55 , 56 , 57 , 58 , 59 

VENDIDO POR        
Unitário

COMPOSIÇÃO        
Papel 100% Japonês",nan
PANAMÁ,67.5,Panamá – 201752,"A versão revisitada do Panamá equatoriano, mais sólida, dobrável e moderna.

Panamá Panasoft em papel 100% japonês .

Fabricado na Itália.","COR        
Branco, Bege

TAMANHO        
54, 55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
Papel 100% Japonês",4.0,HOLOGRAMME,CHAPEU PANAMÁ AJUSTÁVEL,nan,https://hologrammeparis.com/product/panama-art-931-japonais/
À PROVA D´ÁGUA,1,HOLOGRAMME,CHAPÉUS ALGODÃO ENCERADO,nan,45.0,Chapéu – 49103,"Tags: Algodão Oleado , Fabricado em Portugal","COR        
Camelo , Marinho , Marrom , Preto , Ferrugem , Taupe , Verde Escuro

TAMANHO        
55 , 57 , 59 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
100% algodão",nan
CHAPÉUS EM TECIDO,1,HOLOGRAMME,BUCKT HAT ALGODÃO,nan,14.9,Bob – 2018121,nan,"COR	
Bege Claro , Azul , Borgonha , Camelo , Cinza , Amarelo , Cáqui Claro , Cáqui Escuro , Marinho , Preto , Laranja , Vermelho

TAMANHO	
57 , 59

VENDIDO POR	
Pacote 24

COMPOSIÇÃO	
100% algodão","3*Preto, 3*Marinho, 2*Laranja, 2*Bege, 2*Azul Royal, 2*Mostarda, 2*Cáqui, 2*Cinza, 2*Bordéus, 2*Vermelho, 1*Camelo , 1 * marrom claro"
CHAPÉUS EM TECIDO,4,HOLOGRAMME,CHAPÉU SAFARI,nan,19.9,Bob – 2018120,nan,"COR        
Beige Clair, Bleu, Bordeaux, Camel, Gris, Jaune, Kaki Clair, Kaki Fonce, Marine, Noir, Orange, Rouge

TAMANHO        
57 , 59

VENDIDO POR        
Pacote 24

COMPOSIÇÃO        
100% algodão","3*Noir, 3*Marine, 2*Kaki, 2*Bordeaux, 2*Rouge, 2*Rouille, 2*Bleu Royal, 2*Gris, 2*Moutarde, 2*Beige, 1*Camel, 1*Marron Clair"
BONÉS,"Tags: Fabricado na China , Tamanho ajustável","Boné – 12614
Boné – 15112","2*Azul, 2*Mostarda, 2*Vermelho, 2*Cáqui, 4*Preto, 3*Camelo, 3*Cinza, 4*Marinha, 2*Verde, 3 * cinza escuro, 3 * bege, 2 * cáqui, 2 * preto, 2 * verde maçã, 2 * laranja, 2 * marrom 2 * azul, 2 * verde abeto, 2 * vermelho, 2 * Cinza claro","COR        
Azul , Camelo , Cinza , Cáqui , Marinho , Mostarda , Preto , Vermelho , Verde

VENDIDO POR        
Pacote 12

COMPOSIÇÃO        
100% algodão",2.0,HOLOGRAMME,BONÉS CUBANOS,nan,https://hologrammeparis.com/product/casquette-12694/
BONÉS,"Tags: Verão 2023 , Fabricado na China",Boné – 12849,nan,"COR        
Sortido

TAMANHO        
57,5

VENDIDO POR        
Pacote 24

COMPOSIÇÃO        
85% Viscose – 15% Linho",4.0,HOLOGRAMME,BONÉS CUBANOS,nan,https://hologrammeparis.com/product/casquette-15165/
BONÉS,"Tags: Verão 2023 , Fabricado na China",Boné – 15116,nan,"COR	
Sortido

TAMANHO	
57,5

VENDIDO POR	
Pacote 24

COMPOSIÇÃO	
100% algodão",7.0,HOLOGRAMME,BONÉS TRUCKER,nan,https://hologrammeparis.com/product/casquette-2019110/?attribute_pa_couleur=noir
BONÉS,Tags: Fabricado na China,Boné – 22134,nan,"COR        
Sortido , Azul Claro , Borgonha , Camelo , Cinza , Cáqui , Azul Marinho , Mostarda , Preto , Vermelho

VENDIDO POR        
Pacote 12

COMPOSIÇÃO        
51,1% Viscose – 48,9% Lã",9.0,HOLOGRAMME,BONÉS TRUCKER,nan,https://hologrammeparis.com/product/casquette-2015022/
BONÉS,10,HOLOGRAMME,BONÉS TRUCKER,nan,12.9,Boné – 15263,nan,"COR        
Beige, Beige Clair, Beige Fonce, Blanc, Bleu Royal, Camel, Gris Fonce, Jean, Kaki, Kaki Clair, Kaki Fonce, Marine, Marron, Marron Clair, Noir, Orange, Rose, Vert

VENDIDO POR        
Pacote por cor ou unidade

TAMANHO        
57,5

COMPOSIÇÃO        
100% algodão",nan
COWBOY,"Tags: Verão 2023 , Fabricado na China",Boné – 15125,nan,"COR        
Sortido

VENDIDO POR        
Pacote 24

COMPOSIÇÃO        
32,7% Algodão – 60,1% Poliéster – 7,2% Celulose",4.0,HOLOGRAMME,nan,nan,https://hologrammeparis.com/product/casquette-15114/
COWBOY,Tags: Fabricado na China,"Gorro – Miki 12601
Gorro – 640182503",nan,"VENDIDO POR        
Unitário

COMPOSIÇÃO        
100% algodão",6.0,HOLOGRAMME,nan,nan,https://hologrammeparis.com/product/bonnet-4974/
COWBOY,Etiqueta: Fabricado em Italia,Boné – 18110EC,nan,"COR        
Cru, Preto, Verde, Azul

TAMANHO        
54 , 55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
50% Algodão – 50% Linho",8.0,HOLOGRAMME,nan,nan,https://hologrammeparis.com/product/casquette-18474ol/
