sheet,index,brand,name,info,sku,price,details,links
BOINAS INVERNO,21,HOLOGRAMME,BOINA OITAVADA PURE WOOL XADREZ,,Boné – 18440OL,45.0,"45
Boné – 18440OL
Tags: Fabricado na Itália , Inverno , Lã Pura
COR	
Oliva

TAMANHO	
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR	
Unitário

COMPOSIÇÃO	
100% Lã",https://hologrammeparis.com/product/casquette-18440ol/
BOINAS INVERNO,24,HOLOGRAMME,CHAPÉUS MIKI / MARINHEIRO,,"Gorro – Miki 22100

gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira",24.9,"24.9
Gorro – Miki 22100

gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira
COR        
Azul celeste , camelo claro , camelo escuro , cinza escuro , cáqui , marinho , marrom , mostarda , preto , vermelho , verde

VENDIDO POR        
Unitário

COMPOSIÇÃO        
49% Viscose – 51% Lã",https://hologrammeparis.com/product/bonnet-22100/
BOINAS INVERNO,25,HOLOGRAMME,CHAPÉUS MIKI / MARINHEIRO,,"Gorro – 344974

gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira",24.9,"24.9
Gorro – 344974

gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira
Etiqueta: Fabricado em Portugal
COR        
Borgonha , Camelo Claro , Camelo Escuro , Cinza Claro , Cinza Escuro , Cáqui , Marinho , Marrom , Marrom Escuro , Mostarda , Preto , Vermelho , Roxo

VENDIDO POR        
Unitário

COMPOSIÇÃO        
20% Poliamida – 80% Lã Merino",https://hologrammeparis.com/product/bonnet-344974/?attribute_pa_couleur=gris-fonce
BOINAS INVERNO,26,HOLOGRAMME,BOINA SEXTAVADA PURE WOOL,,"Boné – 18508MI
18452",55.0,"55
Boné – 18508MI
18452
Tags: Fabricado na Itália , Inverno , Lã Pura
Cor        
Marinha, Caqui, Marrom

Tamanho        
55 , 56 , 57 , 58 , 59 , 60 , 61

Vendido por        
Unitário

Composição        
100% Lã","https://hologrammeparis.com/product/casquette-18508k/
https://hologrammeparis.com/fr/product/casquette-18452mi/
https://hologrammeparis.com/fr/product/casquette-18452ma/
https://hologrammeparis.com/product/casquette-18508mi/"
BOINAS INVERNO,27,HOLOGRAMME,BOINA HARRIS TWEED QUADRADOS,Harris Tweed 100% lã virgem,Boné – 18500MI,85.0,"85
Boné – 18500MI
Tags: Fabricado na Itália , Harris Tweed , Inverno , Lã Pura
COR        
Marinho

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
100% Lã",https://hologrammeparis.com/product/casquette-18500mi/
BOINAS INVERNO,28,HOLOGRAMME,BOINA HARRIS TWEED PATCHWORK,Harris Tweed 100% lã virgem,Boné – 18501MI,85.0,"85
Boné – 18501MI
Tags: Fabricado na Itália , Harris Tweed , Inverno , Lã Pura
COR        
Marinho

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
100% Lã",https://hologrammeparis.com/product/casquette-18501mi/
BOINAS INVERNO,29,HOLOGRAMME,BOINA PIEMONTE MIX WOOL,,"Boné – 18074
Boné – 18074K
Boné – 18074GC",29.9,"29.9
Boné – 18074
Boné – 18074K
Boné – 18074GC
Tag: Fabricado na Itália , Inverno
COR        
Azul, Verde, Cinza

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
35% Lã – 25% Poliéster – 20% Acrílico – 10% Algodão – 10% Poliamida","https://hologrammeparis.com/product/casquette-18074bl/
https://hologrammeparis.com/product/casquette-18074v/
https://hologrammeparis.com/product/casquette-18074gc/"
BOINAS INVERNO,30,HOLOGRAMME,BOINA SEXTAVADA COM BOMBAZINE,,"Boné – 18279K
Boné – 18279MA
Boné – 18279MI
Boné – 18279BG
Boné – 18279G",45.0,"45
Boné – 18279K
Boné – 18279MA
Boné – 18279MI
Boné – 18279BG
Boné – 18279G
Tag: Fabricado na Itália , Inverno
COR        
Azul, Preto, Bege, Marrom, Cinza, Verde

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO    
61% Poliéster – 31% Viscose – 8% Elastano , Forro: Poliéster","https://hologrammeparis.com/product/casquette-18279k/
https://hologrammeparis.com/product/casquette-18279mi/
https://hologrammeparis.com/product/casquette-18279ma/
https://hologrammeparis.com/product/casquette-18279bg/"
BOINAS INVERNO,32,HOLOGRAMME,BOINA OITAVADA HARRINGBONE,,Boné – 22174,29.9,"29.9
Boné – 22174
Tags: boina oitavada, Inverno , Mistura de lã
COR        
Preto

TAMANHO        
57 , 59

VENDIDO POR        
Pacote 12

COMPOSIÇÃO                
50% Laine – 50% Polyester
5*Noir, 4*Gris, 3*Marron",https://hologrammeparis.com/product/casquette-22174/
BOINAS VERÃO,2,HOLOGRAMME,BOINA OITAVADA LINHO,,Boné – 12805,27.5,"27.5
Boné – 12805
Tags: Verão 2023
COR        
Sortido

TAMANHO        
57 , 59

VENDIDO POR        
Pacote 24

COMPOSIÇÃO        
85% Viscose – 15% Linho
Pacote de 24 peças variadas:
4*Preto, 4*Marinho, 5*Cinza, 4*Verde, 3*Camelo, 4*Bege",https://hologrammeparis.com/product/casquette-12805/
BOINAS VERÃO,7,HOLOGRAMME,BOINA PIEMONTE LINHO E ALGODÃO,,"Boné – 18110EC
Boné – 18110OL",27.5,"27.5
Boné – 18110EC
Boné – 18110OL
Etiqueta: Fabricado em Italia
COR        
Cru, Preto, Verde, Azul

TAMANHO        
54 , 55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
50% Algodão – 50% Linho","https://hologrammeparis.com/fr/product/casquette-18110ol/
https://hologrammeparis.com/product/casquette-18110ec/"
BOINAS VERÃO,8,HOLOGRAMME,BOINA SEXTAVADA CORES NA PALA,,Boné – 18474,45.0,"45
Boné – 18474
COR        
Verde, Bege, Azul, Cinza

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unitário

COMPOSIÇÃO        
50% Polyester – 50% Viscose","https://hologrammeparis.com/product/casquette-18474g/
https://hologrammeparis.com/product/casquette-18474ol/"
BOINAS VERÃO,11,HOLOGRAMME,BOINA PIEMONTE RISCAS,,Boné – 18410,35.0,"35
Boné – 18410
Tag: Verão , Fabricado na Itália
COR        
Bege, Castanho, Verde, Azul, Bordo, Marinho

TAMANHO                
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Pacote 24

COMPOSIÇÃO                
69% Poliéster – 31% Algodão / Forro 100% Algodão","https://hologrammeparis.com/product/casquette-18410bg/
https://hologrammeparis.com/product/casquette-18410ol/
https://hologrammeparis.com/product/casquette-18410bl/
https://hologrammeparis.com/product/casquette-18410bo/
https://hologrammeparis.com/fr/product/casquette-18410mi/
https://hologrammeparis.com/product/casquette-18410ma/"
BOINAS VERÃO,12,HOLOGRAMME,BOINA LINHO QUADRADOS,,"Boné – 18107
Boné – 18515",47.5,"47.5
Boné – 18107
Boné – 18515
Tag: Fabricado na Itália, Linho
COR        
Verde, Azul, Bege

TAMANHO                
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unidade

COMPOSIÇÃO                
100% Linho","https://hologrammeparis.com/product/casquette-e18107bl/
https://hologrammeparis.com/fr/product/casquette-e18107bg/
https://hologrammeparis.com/fr/product/casquette-18515bg/
https://hologrammeparis.com/product/casquette-e18107gr/"
BOINAS VERÃO,14,HOLOGRAMME,BOINA PIEMONTE ALGODÃO,,Boné – 18521A,35.0,"35
Boné – 18521A
Tag: Fabricado na Itália, Algodão
COR        
Azul, Bege, Marinho

TAMANHO                
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unidade

COMPOSIÇÃO                
100% Algodão",https://hologrammeparis.com/fr/product/casquette-18521a/
BOINAS VERÃO,15,HOLOGRAMME,BOINA SEXTAVADA ALGODÃO,,"Boné – 15266F
Boné – 15266C",16.9,"16.9
Boné – 15266F
Boné – 15266C
Tag: verão, cotton
Couleur	
Assorties

Taille	
57, 59

Vendu par	
Pack 24

Composition	
100% Coton","https://hologrammeparis.com/fr/product/casquette-15266c/
https://hologrammeparis.com/fr/product/casquette-15266f/"
BOINAS VERÃO,17,HOLOGRAMME,BOINA OITAVADA LINHO E ALGODÃO,,Casquette – 18534N,37.5,"37.5
Casquette – 18534N
Étiquette : verão, Fabriqué en Italie, Linho, algodão
Couleur        
Noir

Taille        
55, 56, 57, 58, 59, 60, 61

Vendu par        
Unitaire

Composition        
50% Coton – 50% Lin",https://hologrammeparis.com/fr/product/casquette-18534n/
ARTIGOS EM PELE,31,HOLOGRAMME,BOINA SEXTAVADA PELE,,"Boné – 18161N
Boné – 18161M",89.9,"89.9
Boné – 18161N
Boné – 18161M
Tag: Fabricado na Itália , pele genuina
Cor	
Preto, Marrom

Tamanho	
55 , 56 , 57 , 58 , 59 , 60 , 61

Vendido por	
Unitário

Composição	
100% couro de vaca","https://hologrammeparis.com/product/casquette-18161m/
https://hologrammeparis.com/product/casquette-18161n/"
ARTIGOS EM PELE,1,HOLOGRAMME,LUVAS FEMININAS,,Gants – 17120,35.0,"35
Gants – 17120
Etiqueta: LUVAS
Couleur        
Bordeaux, Gris, Marine, Marron, Moutarde, Noir, Orange, Rouge, Taupe

Taille        
6.5, 7, 7.5, 8

Vendu par        
Unitaire

Composition        
100% Cuir de Vachette",https://hologrammeparis.com/product/gants-17120n/?attribute_pa_couleur=marron
ARTIGOS EM PELE,2,HOLOGRAMME,LUVAS MASCULINAS,,Gants – 17119,35.0,"35
Gants – 17119
Etiqueta: LUVAS
Couleur	
Camel, Marine, Marron, Noir

Taille	
8, 8.5, 9, 9.5

Vendu par	
Unitaire

Composition	
100% Cuir d'Ovin / Doublure : 100% Polyester",https://hologrammeparis.com/product/gants-17119n/
ARTIGOS EM PELE,3,HOLOGRAMME,CARTEIRAS,,Porte-Monnaie – 5657,35.0,"35
Porte-Monnaie – 5657
Tags: CARTEIRAS
Couleur	
Bleu, Bordeaux, Cognac, Marron, Noir, Taupe

Vendu par	
Unitaire",https://hologrammeparis.com/product/porte-monnaie-5657/
GORROS,1,HOLOGRAMME,GORRO USHANKA,,Chapka – 6064,,"Chapka – 6064
Tags: Fabricado na China
COR	
Bege , Camelo , Cáqui , Marrom , Preto

TAMANHO	
57 , 59

VENDIDO POR	
Pacote 12

COMPOSIÇÃO	
100% Poliéster / Forro: 100% Poliéster
3*57, 4*59 PRETO, 1*57 BEGE, 1*59 CAMELO, 1*57 CÁQUI, 1*57, 1*59 MARROM",https://hologrammeparis.com/product-category/chapellerie/collection-hiver/chapeaux-hiver/toques-chapkas/
GORROS,2,HOLOGRAMME,CHAPÉU CHAPKA IMPERMEÁVEL,,Chapéu – 49171,,"Chapéu – 49171
Etiqueta: Fabricado em Portugal
COR        
Branco, Preto


COMPOSIÇÃO        
100% modacrílica",https://hologrammeparis.com/product/toque-49171-polaire/
GORROS,3,HOLOGRAMME,CHAPÉU CHAPKA,,Chapéu – 49171,,"Chapéu – 49171
Etiqueta: Fabricado em Portugal
COR        
Bege , Azul Claro , Borgonha , Cinza , Marinho , Marrom , Mostarda , Preto , Laranja , Rosa , Vermelho , Verde

COMPOSIÇÃO        
100% modacrílica",https://hologrammeparis.com/product/toque-49171-simili-cuir/?attribute_pa_couleur=rouge-noir
CHAPÉUS LÃ,3,HOLOGRAMME,CHAPÉUS DE LÃ ITALIANA,"2*55, 2*56, 3*57, 3*58, 2*59 (ou 1*60 e 2*58)","Chapéu Impermeável – Art 181054 (Pack 12)

Tags: Fabricado na Itália , Lã Esmagável Impermeável",67.5,"67.5
Chapéu Impermeável – Art 181054 (Pack 12)

Tags: Fabricado na Itália , Lã Esmagável Impermeável
Tags: Fabricado na Itália , Lã , Esmagável,  Impermeável
COR	
Sortido

TAMANHO	
55 , 56 , 57 , 58 , 59 , 60

VENDIDO POR	
Pacote 12

COMPOSIÇÃO	
100% Lã
Bege , Azul Céu , Azul Royal , Borgonha , Camelo , Castor , Cinza , Índigo , Cáqui , Marinho , Marrom , Mostarda , Preto , Rosa , Vermelho , Ferrugem , Rubino , Verde Escuro",https://hologrammeparis.com/product/chapeau-waterproof-art-181054-pack-12/
CHAPÉUS LÃ,4,HOLOGRAMME,CHAPÉU DE LÃ TRILBY,,Chapéu – Art 970 (Pack 12),29.9,"29.9
Chapéu – Art 970 (Pack 12)
Tags: Fabricado na Itália , Lã Pura
COR        
Sortido

TAMANHO        
54, 55 , 56 , 57 , 58 , 59 , 60

VENDIDO POR        
Pacote 12

COMPOSIÇÃO        
100% Lã
Azul Pato , Azul Céu , Azul Royal , Borgonha , Camelo , Castor , Cinza Claro , Cáqui , Marinho , Marrom , Mostarda , Preto , Rosa , Vermelho , Ferrugem , Rubino , Verde, 	
Bordeaux , Cinza , Cinza Claro , Cinza Escuro , Cáqui , Azul Marinho",https://hologrammeparis.com/product/chapeau-art-970-pack-12/
CHAPÉUS LÃ,6,HOLOGRAMME,CHAPÉUS DE LÃ IMPERMEÁVEL,,"Chapéu Impermeável – Art 181056

Tags: Fabricado na Itália , Lã,  Esmagável,  Impermeável",49.9,"49.9
Chapéu Impermeável – Art 181056

Tags: Fabricado na Itália , Lã,  Esmagável,  Impermeável
COR        
Sortido

TAMANHO        
55 , 56 , 57 , 58 , 59 , 60

VENDIDO POR        
Pacote 12

COMPOSIÇÃO        
100% Lã
Pato Azul , Borgonha , Camelo , Castor , Cinza , Cáqui , Marinho , Marrom , Mostarda , Preto , Rosa , Vermelho , Ferrugem , Rubino , Verde Escuro",https://hologrammeparis.com/product/chapeau-waterproof-art-181056-pack-12/
FEMININO,1,HOLOGRAMME,BONÉS DE INVERNO PARA MULHERES,,Boné – 13156,,"Tag: Mistura de angorá , Fabricado na China , Inverno 2022
Boné – 13156",https://hologrammeparis.com/product/casquette-13156/
FEMININO,2,HOLOGRAMME,BONÉS DE INVERNO PARA MULHERES,,Boné – 12463,,"Etiqueta: Fabricado na China
Boné – 12463
COR        
Cru , Cinza , Preto

VENDIDO POR        
Pacote 24

COMPOSIÇÃO        
50% Lã – 50% PU Sintético",https://hologrammeparis.com/product/casquette-12463/
FEMININO,3,HOLOGRAMME,CHAPÉUS DE PALHA FEMININOS,,Palha – 12403,,"Palha – 12403
Tags: Fabricado na China , Tamanho ajustável
COR        
Camel , Marrom , Mostarda , Rosa , Verde

TAMANHO        
Tamanho único

VENDIDO POR        
Pacote 15
3*marrom, 3*verde, 3*camelo, 3*caqui, 3*rosa",https://hologrammeparis.com/product/paille-12403/
FEMININO,4,HOLOGRAMME,CHAPÉUS DE PALHA FEMININOS,,Palha – 12673,,"Tags: Fabricado na China , Tamanho ajustável
Palha – 12673
Nossa versão Hologram Paris do chapéu de palha em forma de sino.

Chapéu luxuoso tricotado em palha de ráfia extrafina .
Sólido, dobrável e intemporal.

Palha 100% Ráfia
COR        
Natural, Preto

TAMANHO        
Tamanho único

VENDIDO POR        
Unitário

COMPOSIÇÃO        
Palha 100% natural",https://hologrammeparis.com/product/paille-12673/
FEMININO,5,HOLOGRAMME,BOINA COM PALA ALGODÃO,,Boné – 12625,24.9,"24.9
Boné – 12625
COR        
Bege , Branco , Camelo , Cinza , Marinho , Vermelho

TAMANHO        
56 , 58

VENDIDO POR        
Pacote 24

COMPOSIÇÃO        
7% Viscose – 33% Algodão – 60% Poliéster
Pacote de 24 peças variadas:
2 * vermelho, 2 * verde, 2 * azul celeste, 4 * camelo, 4 * cru, 3 * branco, 3 * bege, 3 * marinho, 1 * cinza",https://hologrammeparis.com/product/casquette-12625/
FEMININO,6,HOLOGRAMME,BONÉS DE VERÃO PARA MULHERES,,Boné – 2018016,,"Etiqueta: Fabricado na China
Boné – 2018016
COR        
Bordeaux , Coral , Cru , Cinza , Cáqui , Preto

TAMANHO        
55 , 57

VENDIDO POR        
Pacote 24

COMPOSIÇÃO        
100% Algodão / Forro: 100% Poliéster
Pacote de 24 peças variadas:
3*Cáqui, 5*Preto, 3*Bordeaux, 3*Azul, 2*Laranja, 4*Cinza, 4*Bege",https://hologrammeparis.com/product/casquette-2018016/
FEMININO,7,HOLOGRAMME,BONÉS DE VERÃO PARA MULHERES,,Viseira – 23119,,"Etiqueta: Fabricado na China
Viseira – 23119
SIZE	
One size adjustable
COR        
Bege , Bordéus , Marinho , Preto , Rosa , Vermelho

VENDIDO POR        
Pacote 15

COMPOSIÇÃO        
100% Papel
Pacote de 30 peças variadas:
2*Rosa, 5*Laranja, 5*Roxo, 6*Azul, 6*Bege, 6*Preto",https://hologrammeparis.com/product/visiere-23119/
FEMININO,13,HOLOGRAMME,BOINA COM PALA INVERNO,,Boné – 2018039,,"NÃO TEM MAIS NO ESTOQUE
Boné – 2018039
Tags: Fabricado na China , Mistura de lã
COR	
Azul , Cinza , Cinza Escuro , Preto , Vermelho , Verde

TAMANHO	
56 , 58

VENDIDO POR	
Pacote 12

COMPOSIÇÃO	
5% Acrílico – 7% Fibra – 40% Lã – 48% Poliéster
2*Cinza claro, 
1*Cinza escuro, 
1*Cáqui, 
1*Bordeaux, 
1*Vermelho, 
2*Marinho, 
4*Preto",https://hologrammeparis.com/product/casquette-2018039/
FEMININO,14,HOLOGRAMME,BOINA COM PALA INVERNO,,Casquette – 22103,24.9,"24.9
Casquette – 22103
Tags: Fabricado na China , Mistura de lã
COR        
Sortidas

TAMANHO        
56, 58

COMPOSIÇÃO        
50% Polyester – 50% Laine
Sortido , Bordéus , Camelo , Cru , Cinza Claro , Cinza Escuro , Cáqui , Azul Marinho , Marrom , Mostarda , Preto , Laranja , Verde",https://hologrammeparis.com/product/casquette-22103/
FEMININO,15,HOLOGRAMME,BONÉS DE INVERNO PARA MULHERES,,Casquette – 12448,,"Casquette – 12448
Fabricado na China, Tamanho ajustável
COR        
2*Mostarda, 2*Marrom, 3*Bordéus, 3*Marinho, 3*Verde, 3*Azul, 3*Taupe, 5*Preto

TAMANHO        
Unico com ajuste (elástico)

COMPOSIÇÃO     
100% PU
2*Mostarda, 2*Marrom, 3*Bordéus, 3*Marinho, 3*Verde, 3*Azul, 3*Taupe, 5*Preto",https://hologrammeparis.com/product/casquette-12448/
FEMININO,16,HOLOGRAMME,CHAPÉUS DE PALHA FEMININOS,,Palha – 12511,,"Tags: Fabricado na China , Tamanho ajustável
Palha – 12511
Nossa versão Hologram Paris do chapéu de palha em forma de sino.

Chapéu luxuoso tricotado em palha de ráfia extrafina .
Sólido, dobrável e intemporal.

Palha 100% Ráfia
COR        
Camel , Cinza , Natural , Preto , Verde

TAMANHO        
Tamanho único

VENDIDO POR        
Unitário

COMPOSIÇÃO        
Palha 100% natural",https://hologrammeparis.com/product/paille-12511/
FEMININO,17,HOLOGRAMME,CHAPÉUS DE PALHA FEMININOS,,Palha – 12512,,"Tags: Fabricado na China , Tamanho ajustável
Palha – 12512
Chapéu luxuoso tricotado em palha de ráfia extrafina .
Sólido, dobrável e intemporal.

Palha 100% Ráfia
COR        
Preto, Verde, Natural

TAMANHO        
Tamanho único

VENDIDO POR        
Unitário

COMPOSIÇÃO        
Palha 100% natural",
FEMININO,18,HOLOGRAMME,CHAPÉUS DE PALHA FEMININOS,,Palha – 12517,,"Tags: Fabricado na China , Tamanho ajustável
Palha – 12517
Chapéu luxuoso tricotado em palha de ráfia extrafina .
Sólido, dobrável e intemporal.

Palha 100% Ráfia
COR        
Cinza, Verde, Natural

TAMANHO        
Tamanho único

VENDIDO POR        
Unitário

COMPOSIÇÃO        
Palha 100% natural
11*Bege, 7*Camelo, 4*Verde, 4*Cinza, 4*Preto",https://hologrammeparis.com/product/paille-12517/
FEMININO,20,HOLOGRAMME,BOINA CLÁSSICA / BERET,,Boina Clássica – 5020,14.9,"14.9
Boina Clássica – 5020
Nossa versão holográfica parisiense da “boina lisa clássica”

Sóbrio, intemporal e sem logótipo visível.

75g de lã escovada e raspada
VENDIDO POR	
Unitário

COMPOSIÇÃO	
100% Lã",https://hologrammeparis.com/product/beret-5020/?attribute_pa_couleur=beige-na1302
FEMININO,4,HOLOGRAMME,CHAPÉU LÃ HARMONICO,,"Gorro – 5942F
Bonnet – 5942C",19.9,"19.9
Gorro – 5942F
Bonnet – 5942C
Tags:  Lã Pura
COR        
Sortido

TAMANHO        
UNICO

VENDIDO POR        
Pacote 12

COMPOSIÇÃO        
100% Lã
1*Ameixa, 2*Bordeaux, 1*Marrom, 3*Preto, 1*Camelo, 1*Cinza Escuro, 2*Marinho, 1*Cáqui
1*Olive, 1*Ecru, 1*Fuchsia, 3*Noir, 2*Rouge, 1*Moutarde, 1*Brique, 1*Gris, 1*Bleu",https://hologrammeparis.com/product/bonnet-5942f/
FEMININO,21,HOLOGRAMME,BOINA COM PALA PIED POULE,,Boné – 22238,29.9,"29.9
Boné – 22238
Cor	
Sortido

Tamanho	
56 , 58

Vendido por	
Pacote 12

Composição	
50% Lã – 50% Poliéster
5*Cinza Escuro, 4*Cinza Claro, 3*Bege",https://hologrammeparis.com/product/casquette-22238/
CERIMÓNIA,4,HOLOGRAMME,CHAPÉUS DE PALHA FEMININOS,,Palha – 12673,,"Tags: Fabricado na China , Tamanho ajustável
Palha – 12673
Nossa versão Hologram Paris do chapéu de palha em forma de sino.

Chapéu luxuoso tricotado em palha de ráfia extrafina .
Sólido, dobrável e intemporal.

Palha 100% Ráfia
COR        
Natural, Preto

TAMANHO        
Tamanho único

VENDIDO POR        
Unitário

COMPOSIÇÃO        
Palha 100% natural",https://hologrammeparis.com/product/paille-12673/
CERIMÓNIA,5,HOLOGRAMME,BONÉS DE VERÃO PARA MULHERES,,Boné – 12625,,"Etiqueta: Fabricado na China
Boné – 12625
COR        
Bege , Branco , Camelo , Cinza , Marinho , Vermelho

TAMANHO        
56 , 58

VENDIDO POR        
Pacote 24

COMPOSIÇÃO        
7% Viscose – 33% Algodão – 60% Poliéster
Pacote de 24 peças variadas:
2 * vermelho, 2 * verde, 2 * azul celeste, 4 * camelo, 4 * cru, 3 * branco, 3 * bege, 3 * marinho, 1 * cinza",https://hologrammeparis.com/product/casquette-12625/
