Type,SKU,Name,Published,Short description,Description,Regular price,Categories,Tags,Images
simple,Boné – 18440OL,BOINA OITAVADA PURE WOOL XADREZ,1,BOINA · https://hologrammeparis.com/product/casquette-18440ol/,,45.0,,"['Fabricado na Itália', 'Inverno', 'Lã Pura']","images/boinas inverno/bone-18440ol/img_01.jpg, images/boinas inverno/bone-18440ol/img_02.jpg, images/boinas inverno/bone-18440ol/img_03.jpg, images/boinas inverno/bone-18440ol/img_04.jpg"
simple,"Gorro – Miki 22100

gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira",CHAPÉUS MIKI / MARINHEIRO,1,CHAPÉUS · https://hologrammeparis.com/product/bonnet-22100/,,24.9,,['CHAPÉUS MIKI / MARINHEIRO'],"images/boinas inverno/gorro-miki-22100-gorro-de-la-estilo-bretao-miki-docker-com-aba-de-aperto-traseira/img_01.jpg, images/boinas inverno/gorro-miki-22100-gorro-de-la-estilo-bretao-miki-docker-com-aba-de-aperto-traseira/img_02.jpg, images/boinas inverno/gorro-miki-22100-gorro-de-la-estilo-bretao-miki-docker-com-aba-de-aperto-traseira/img_03.jpg, images/boinas inverno/gorro-miki-22100-gorro-de-la-estilo-bretao-miki-docker-com-aba-de-aperto-traseira/img_04.jpg, images/boinas inverno/gorro-miki-22100-gorro-de-la-estilo-bretao-miki-docker-com-aba-de-aperto-traseira/img_05.jpg"
simple,"Gorro – 344974

gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira",CHAPÉUS MIKI / MARINHEIRO,1,CHAPÉUS · https://hologrammeparis.com/product/bonnet-344974/?attribute_pa_couleur=gris-fonce,,24.9,,['Etiqueta: Fabricado em Portugal'],"images/boinas inverno/gorro-344974-gorro-de-la-estilo-bretao-miki-docker-com-aba-de-aperto-traseira/img_01.jpg, images/boinas inverno/gorro-344974-gorro-de-la-estilo-bretao-miki-docker-com-aba-de-aperto-traseira/img_02.jpg, images/boinas inverno/gorro-344974-gorro-de-la-estilo-bretao-miki-docker-com-aba-de-aperto-traseira/img_03.jpg, images/boinas inverno/gorro-344974-gorro-de-la-estilo-bretao-miki-docker-com-aba-de-aperto-traseira/img_04.jpg, images/boinas inverno/gorro-344974-gorro-de-la-estilo-bretao-miki-docker-com-aba-de-aperto-traseira/img_05.jpg"
simple,"Boné – 18508MI
18452",BOINA SEXTAVADA PURE WOOL,1,"BOINA · https://hologrammeparis.com/product/casquette-18508k/
https://hologrammeparis.com/fr/product/casquette-18452mi/
https://hologrammeparis.com/fr/product/casquette-18452ma/",,55.0,,"['Fabricado na Itália', 'Inverno', 'Lã Pura']","images/boinas inverno/bone-18508mi-18452/img_01.jpg, images/boinas inverno/bone-18508mi-18452/img_02.jpg, images/boinas inverno/bone-18508mi-18452/img_03.jpg, images/boinas inverno/bone-18508mi-18452/img_04.jpg, images/boinas inverno/bone-18508mi-18452/img_05.jpg, images/boinas inverno/bone-18508mi-18452/img_06.jpg, images/boinas inverno/bone-18508mi-18452/img_07.jpg, images/boinas inverno/bone-18508mi-18452/img_08.jpg, images/boinas inverno/bone-18508mi-18452/img_09.jpg"
simple,Boné – 18500MI,BOINA HARRIS TWEED QUADRADOS,1,BOINA · https://hologrammeparis.com/product/casquette-18500mi/,,85.0,,"['Fabricado na Itália', 'Harris Tweed', 'Inverno', 'Lã Pura']","images/boinas inverno/bone-18500mi/img_01.jpg, images/boinas inverno/bone-18500mi/img_02.jpg, images/boinas inverno/bone-18500mi/img_03.jpg, images/boinas inverno/bone-18500mi/img_04.jpg"
simple,Boné – 18501MI,BOINA HARRIS TWEED PATCHWORK,1,BOINA · https://hologrammeparis.com/product/casquette-18501mi/,,85.0,,"['Fabricado na Itália', 'Harris Tweed', 'Inverno', 'Lã Pura']","images/boinas inverno/bone-18501mi/img_01.jpg, images/boinas inverno/bone-18501mi/img_02.jpg, images/boinas inverno/bone-18501mi/img_03.jpg, images/boinas inverno/bone-18501mi/img_04.jpg"
simple,"Boné – 18074
Boné – 18074K
Boné – 18074GC",BOINA PIEMONTE MIX WOOL,1,"BOINA · https://hologrammeparis.com/product/casquette-18074v/
https://hologrammeparis.com/product/casquette-18074gc/",,29.9,,"['Fabricado na Itália', 'Inverno']","images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_01.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_02.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_03.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_04.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_05.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_06.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_07.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_08.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_09.jpg"
simple,"Boné – 18279K
Boné – 18279MA
Boné – 18279MI
Boné – 18279BG
Boné – 18279G",BOINA SEXTAVADA COM BOMBAZINE,1,"BOINA · https://hologrammeparis.com/product/casquette-18279mi/
https://hologrammeparis.com/product/casquette-18279ma/
https://hologrammeparis.com/product/casquette-18279bg/",,45.0,,"['Fabricado na Itália', 'Inverno']","images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_01.jpg, images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_02.jpg, images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_03.jpg, images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_04.jpg, images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_05.jpg, images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_06.jpg, images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_07.jpg, images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_08.jpg, images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_09.jpg"
simple,Boné – 22174,BOINA OITAVADA HARRINGBONE,0,"BOINA · 5*Noir, 4*Gris, 3*Marron",,29.9,,"['boina oitavada', 'Inverno', 'Mistura de lã']",
simple,18220MI ,BOINA OITAVADA PURE WOOL,1,BOINA · 100% Lã Shetland Pura,,45.0,,"['Fabricado na Itália', 'Inverno', 'Lã Pura']","images/boinas inverno/18220mi/img_01.jpg, images/boinas inverno/18220mi/img_02.jpg, images/boinas inverno/18220mi/img_03.jpg, images/boinas inverno/18220mi/img_04.jpg"
simple,HOLOGRAMME,"Tag: Verão , Fabricado na Itália",1,Tag: · https://hologrammeparis.com/product/casquette-e18107gr/,,12.0,,['BOINA LINHO QUADRADOS'],"images/boinas verão/hologramme/img_01.jpg, images/boinas verão/hologramme/img_02.jpg, images/boinas verão/hologramme/img_03.jpg, images/boinas verão/hologramme/img_04.jpg, images/boinas verão/hologramme/img_05.jpg, images/boinas verão/hologramme/img_06.jpg, images/boinas verão/hologramme/img_07.jpg, images/boinas verão/hologramme/img_08.jpg"
simple,Boné – 12805,BOINA OITAVADA LINHO,1,"BOINA · Pacote de 24 peças variadas:
4*Preto, 4*Marinho, 5*Cinza, 4*Verde, 3*Camelo, 4*Bege",,27.5,,['Verão 2023'],"images/boinas verão/bone-12805/img_01.jpg, images/boinas verão/bone-12805/img_02.jpg, images/boinas verão/bone-12805/img_03.jpg, images/boinas verão/bone-12805/img_04.jpg, images/boinas verão/bone-12805/img_05.jpg, images/boinas verão/bone-12805/img_06.jpg, images/boinas verão/bone-12805/img_07.jpg, images/boinas verão/bone-12805/img_08.jpg, images/boinas verão/bone-12805/img_09.jpg"
simple,"Boné – 18110EC
Boné – 18110OL",BOINA PIEMONTE LINHO E ALGODÃO,1,BOINA · https://hologrammeparis.com/fr/product/casquette-18110ol/,,27.5,,['Etiqueta: Fabricado em Italia'],"images/boinas verão/bone-18110ec-bone-18110ol/img_01.jpg, images/boinas verão/bone-18110ec-bone-18110ol/img_02.jpg, images/boinas verão/bone-18110ec-bone-18110ol/img_03.jpg, images/boinas verão/bone-18110ec-bone-18110ol/img_04.jpg, images/boinas verão/bone-18110ec-bone-18110ol/img_05.jpg, images/boinas verão/bone-18110ec-bone-18110ol/img_06.jpg, images/boinas verão/bone-18110ec-bone-18110ol/img_07.jpg, images/boinas verão/bone-18110ec-bone-18110ol/img_08.jpg, images/boinas verão/bone-18110ec-bone-18110ol/img_09.jpg"
simple,Boné – 18474,BOINA SEXTAVADA CORES NA PALA,1,BOINA · https://hologrammeparis.com/product/casquette-18474g/,,45.0,,['BOINA SEXTAVADA CORES NA PALA'],"images/boinas verão/bone-18474/img_01.jpg, images/boinas verão/bone-18474/img_02.jpg, images/boinas verão/bone-18474/img_03.jpg, images/boinas verão/bone-18474/img_04.jpg, images/boinas verão/bone-18474/img_05.jpg, images/boinas verão/bone-18474/img_06.jpg, images/boinas verão/bone-18474/img_07.jpg, images/boinas verão/bone-18474/img_08.jpg"
simple,"Boné – 18107
Boné – 18515 ","Tag: Fabricado na Itália, Linho",1,"Tag: · https://hologrammeparis.com/product/casquette-e18107bl/
https://hologrammeparis.com/fr/product/casquette-e18107bg/
https://hologrammeparis.com/fr/product/casquette-18515bg/",,47.5,,"['Fabricado na Itália', 'Linho']","images/boinas verão/bone-18107-bone-18515/img_01.jpg, images/boinas verão/bone-18107-bone-18515/img_02.jpg, images/boinas verão/bone-18107-bone-18515/img_03.jpg, images/boinas verão/bone-18107-bone-18515/img_04.jpg, images/boinas verão/bone-18107-bone-18515/img_05.jpg, images/boinas verão/bone-18107-bone-18515/img_06.jpg, images/boinas verão/bone-18107-bone-18515/img_07.jpg, images/boinas verão/bone-18107-bone-18515/img_08.jpg, images/boinas verão/bone-18107-bone-18515/img_09.jpg"
simple,Boné – 18521A,BOINA PIEMONTE ALGODÃO,1,BOINA · https://hologrammeparis.com/fr/product/casquette-18521a/,,35.0,,"['Fabricado na Itália', 'Algodão']","images/boinas verão/bone-18521a/img_01.jpg, images/boinas verão/bone-18521a/img_02.jpg, images/boinas verão/bone-18521a/img_03.jpg, images/boinas verão/bone-18521a/img_04.jpg"
simple,"Boné – 15266F
Boné – 15266C",BOINA SEXTAVADA ALGODÃO,1,BOINA · https://hologrammeparis.com/fr/product/casquette-15266c/,,16.9,,"['verão', 'cotton']","images/boinas verão/bone-15266f-bone-15266c/img_01.jpg, images/boinas verão/bone-15266f-bone-15266c/img_02.jpg, images/boinas verão/bone-15266f-bone-15266c/img_03.jpg, images/boinas verão/bone-15266f-bone-15266c/img_04.jpg, images/boinas verão/bone-15266f-bone-15266c/img_05.jpg, images/boinas verão/bone-15266f-bone-15266c/img_06.jpg, images/boinas verão/bone-15266f-bone-15266c/img_07.jpg, images/boinas verão/bone-15266f-bone-15266c/img_08.jpg, images/boinas verão/bone-15266f-bone-15266c/img_09.jpg"
simple,Casquette – 18534N,"Étiquette : verão, Fabriqué en Italie, Linho, algodão",0,Étiquette,,37.5,,"['Étiquette : verão', 'Fabriqué en Italie', 'Linho', 'algodão']",
simple,"Boné – 18161N
Boné – 18161M",BOINA SEXTAVADA PELE,1,BOINA · https://hologrammeparis.com/product/casquette-18161m/,,89.9,,"['Fabricado na Itália', 'pele genuina']","images/artigos em pele/bone-18161n-bone-18161m/img_01.jpg, images/artigos em pele/bone-18161n-bone-18161m/img_02.jpg, images/artigos em pele/bone-18161n-bone-18161m/img_03.jpg, images/artigos em pele/bone-18161n-bone-18161m/img_04.jpg, images/artigos em pele/bone-18161n-bone-18161m/img_05.jpg"
simple,Gants – 17120,LUVAS FEMININAS ,1,LUVAS · https://hologrammeparis.com/product/gants-17120n/?attribute_pa_couleur=marron,,35.0,,['Etiqueta: LUVAS'],"images/artigos em pele/gants-17120/img_01.jpg, images/artigos em pele/gants-17120/img_02.jpg, images/artigos em pele/gants-17120/img_03.jpg, images/artigos em pele/gants-17120/img_04.jpg, images/artigos em pele/gants-17120/img_05.jpg, images/artigos em pele/gants-17120/img_06.jpg, images/artigos em pele/gants-17120/img_07.jpg, images/artigos em pele/gants-17120/img_08.jpg, images/artigos em pele/gants-17120/img_09.jpg"
simple,Gants – 17119,LUVAS MASCULINAS,1,LUVAS · https://hologrammeparis.com/product/gants-17119n/,,35.0,,['Etiqueta: LUVAS'],"images/artigos em pele/gants-17119/img_01.jpg, images/artigos em pele/gants-17119/img_02.jpg, images/artigos em pele/gants-17119/img_03.jpg, images/artigos em pele/gants-17119/img_04.jpg, images/artigos em pele/gants-17119/img_05.jpg"
simple,Porte-Monnaie – 5657,CARTEIRAS,0,CARTEIRAS · https://hologrammeparis.com/product/porte-monnaie-5657/,,35.0,,['CARTEIRAS'],images/artigos em pele/porte-monnaie-5657/img_01.jpg
simple,,CHAPEU AUSTRALIANO,0,CHAPEU,,67.5,,['Fabricado em Portugal'],
simple,VELEN,BASEBALL CAP,0,BASEBALL · Etiqueta: Fabricado em Portugal,,29.9,,"['Boné Vegan estilo basebol de cortiça. Na confeção deste boné não foi usado nenhum material de origem animal. \n\n- Produto Vegan produzido em Portugal com cortiça Portuguesa. \n\n- Eco-Friendly', 'duradouro', 'repelente da água e suave ao toque.\n\n- Pode ser limpo com água e sabão neutro.']",
simple,Chapka – 6064,GORRO USHANKA,0,"GORRO · 3*57, 4*59 PRETO, 1*57 BEGE, 1*59 CAMELO, 1*57 CÁQUI, 1*57, 1*59 MARROM",,1.0,,['Fabricado na China'],images/gorros/chapka-6064/img_01.jpg
simple,Chapéu – 49171,CHAPÉU CHAPKA IMPERMEÁVEL,1,CHAPÉU · https://hologrammeparis.com/product/toque-49171-polaire/,,2.0,,['Etiqueta: Fabricado em Portugal'],"images/gorros/chapeu-49171/img_01.jpg, images/gorros/chapeu-49171/img_02.jpg, images/gorros/chapeu-49171/img_03.jpg, images/gorros/chapeu-49171/img_04.jpg, images/gorros/chapeu-49171/img_05.jpg, images/gorros/chapeu-49171/img_06.jpg, images/gorros/chapeu-49171/img_07.jpg, images/gorros/chapeu-49171/img_08.jpg, images/gorros/chapeu-49171/img_09.jpg"
simple,,Bonnet – Pierre Cardin,0,Bonnet · https://hologrammeparis.com/fr/product/bonnet-pierre-cardin-bonnet/,,0.0,,"['Gorro da marca Pierre Cardin', 'com uma textura suave e simples.\n\nPossui um grande reverso e exibe um emblema branco com o logo distintivo de Pierre Cardin', 'com um grande “P” estilizado em preto e a assinatura abaixo\n\nFabricado em um material quente e confortável', 'perfeito para um visual sóbrio de inverno.']","images/gorros/bonnet-pierre-cardin/img_01.jpg, images/gorros/bonnet-pierre-cardin/img_02.jpg, images/gorros/bonnet-pierre-cardin/img_03.jpg"
simple,"Tags: Fabricado na Itália , Lã Pura

",CHAPEU FEDORA ,1,"CHAPEU · Bege , Branco , Branco Preto , Verde-azulado, Azul Céu , Azul Royal , Borgonha , Camelo , Castor , Creme , Cinza Claro , Cinza Escuro , Índigo , Cáqui , Marinho , Marrom , Mostarda , Preto , Laranja , Rosa , Vermelho , Ferrugem , Rubino , Verde Escuro , Rosa Velha",,35.0,,"['Nossa versão Hologram Paris do “Fedora clássico”\n\nChapéu com fita tom sobre tom', '100 g de pura lã.\n\nSóbrio e sem logótipo visível.\n\n100% lã e fabricação italiana']","images/chapéus lã/tags-fabricado-na-italia-la-pura/img_01.jpg, images/chapéus lã/tags-fabricado-na-italia-la-pura/img_02.jpg, images/chapéus lã/tags-fabricado-na-italia-la-pura/img_03.jpg, images/chapéus lã/tags-fabricado-na-italia-la-pura/img_04.jpg, images/chapéus lã/tags-fabricado-na-italia-la-pura/img_05.jpg, images/chapéus lã/tags-fabricado-na-italia-la-pura/img_06.jpg, images/chapéus lã/tags-fabricado-na-italia-la-pura/img_07.jpg, images/chapéus lã/tags-fabricado-na-italia-la-pura/img_08.jpg"
simple,"Chapéu Impermeável – Art 181054 (Pack 12)

Tags: Fabricado na Itália , Lã Esmagável Impermeável",CHAPÉUS DE LÃ ITALIANA,1,"CHAPÉUS · 	
Bege , Azul Céu , Azul Royal , Borgonha , Camelo , Castor , Cinza , Índigo , Cáqui , Marinho , Marrom , Mostarda , Preto , Rosa , Vermelho , Ferrugem , Rubino , Verde Escuro",,67.5,,"['Fabricado na Itália', 'Lã', 'Esmagável', 'Impermeável']","images/chapéus lã/chapeu-impermeavel-art-181054-pack-12-tags-fabricado-na-italia-la-esmagavel-impermeavel/img_01.jpg, images/chapéus lã/chapeu-impermeavel-art-181054-pack-12-tags-fabricado-na-italia-la-esmagavel-impermeavel/img_02.jpg, images/chapéus lã/chapeu-impermeavel-art-181054-pack-12-tags-fabricado-na-italia-la-esmagavel-impermeavel/img_03.jpg, images/chapéus lã/chapeu-impermeavel-art-181054-pack-12-tags-fabricado-na-italia-la-esmagavel-impermeavel/img_04.jpg, images/chapéus lã/chapeu-impermeavel-art-181054-pack-12-tags-fabricado-na-italia-la-esmagavel-impermeavel/img_05.jpg"
simple,Chapéu – Art 970 (Pack 12),CHAPÉU DE LÃ TRILBY,1,"CHAPÉU ·         
Azul Pato , Azul Céu , Azul Royal , Borgonha , Camelo , Castor , Cinza Claro , Cáqui , Marinho , Marrom , Mostarda , Preto , Rosa , Vermelho , Ferrugem , Rubino , Verde, 	
Bordeaux , Cinza , Cinza Claro , Cinza Escuro , Cáqui , Azul Marinho",,29.9,,"['Fabricado na Itália', 'Lã Pura']","images/chapéus lã/chapeu-art-970-pack-12/img_01.jpg, images/chapéus lã/chapeu-art-970-pack-12/img_02.jpg, images/chapéus lã/chapeu-art-970-pack-12/img_03.jpg, images/chapéus lã/chapeu-art-970-pack-12/img_04.jpg, images/chapéus lã/chapeu-art-970-pack-12/img_05.jpg, images/chapéus lã/chapeu-art-970-pack-12/img_06.jpg"
simple,"Chapéu Impermeável – Art 181056

Tags: Fabricado na Itália , Lã,  Esmagável,  Impermeável",CHAPÉUS DE LÃ IMPERMEÁVEL,1,"CHAPÉUS · Pato Azul , Borgonha , Camelo , Castor , Cinza , Cáqui , Marinho , Marrom , Mostarda , Preto , Rosa , Vermelho , Ferrugem , Rubino , Verde Escuro
",,49.9,,['CHAPÉUS DE LÃ IMPERMEÁVEL'],"images/chapéus lã/chapeu-impermeavel-art-181056-tags-fabricado-na-italia-la-esmagavel-impermeavel/img_01.jpg, images/chapéus lã/chapeu-impermeavel-art-181056-tags-fabricado-na-italia-la-esmagavel-impermeavel/img_02.jpg, images/chapéus lã/chapeu-impermeavel-art-181056-tags-fabricado-na-italia-la-esmagavel-impermeavel/img_03.jpg, images/chapéus lã/chapeu-impermeavel-art-181056-tags-fabricado-na-italia-la-esmagavel-impermeavel/img_04.jpg, images/chapéus lã/chapeu-impermeavel-art-181056-tags-fabricado-na-italia-la-esmagavel-impermeavel/img_05.jpg"
simple,"chapeu colonial
pith helmet",CHAPEU COLONIAL,0,CHAPEU,,45.0,,['CHAPEU COLONIAL'],
simple,Boné – 13156,BONÉS DE INVERNO PARA MULHERES,0,BONÉS · https://hologrammeparis.com/product/casquette-13156/,,0.0,,['BONÉS DE INVERNO PARA MULHERES'],"images/feminino/bone-13156/img_01.jpg, images/feminino/bone-13156/img_02.jpg, images/feminino/bone-13156/img_03.jpg, images/feminino/bone-13156/img_04.jpg, images/feminino/bone-13156/img_05.jpg, images/feminino/bone-13156/img_06.jpg, images/feminino/bone-13156/img_07.jpg, images/feminino/bone-13156/img_08.jpg, images/feminino/bone-13156/img_09.jpg"
simple,Boné – 12463,BONÉS DE INVERNO PARA MULHERES,0,BONÉS · https://hologrammeparis.com/product/casquette-12463/,,0.0,,['BONÉS DE INVERNO PARA MULHERES'],"images/feminino/bone-12463/img_01.jpg, images/feminino/bone-12463/img_02.jpg, images/feminino/bone-12463/img_03.jpg, images/feminino/bone-12463/img_04.jpg, images/feminino/bone-12463/img_05.jpg, images/feminino/bone-12463/img_06.jpg, images/feminino/bone-12463/img_07.jpg"
simple,Palha – 12403, CHAPÉUS DE PALHA FEMININOS,0,"CHAPÉUS ·         
3*marrom, 3*verde, 3*camelo, 3*caqui, 3*rosa",,3.0,,"['Fabricado na China', 'Tamanho ajustável']",
simple,Palha – 12673,CHAPÉUS DE PALHA FEMININOS,0,CHAPÉUS · https://hologrammeparis.com/product/paille-12673/,,0.0,,"['Nossa versão Hologram Paris do chapéu de palha em forma de sino.\n\nChapéu luxuoso tricotado em palha de ráfia extrafina .\nSólido', 'dobrável e intemporal.\n\nPalha 100% Ráfia']","images/feminino/palha-12673/img_01.jpg, images/feminino/palha-12673/img_02.jpg, images/feminino/palha-12673/img_03.jpg, images/feminino/palha-12673/img_04.jpg, images/feminino/palha-12673/img_05.jpg, images/feminino/palha-12673/img_06.jpg"
