Sheet,SKU,Nome,Preço,Descrição curta,Descrição longa,Tags,Cor,Tamanho,Composição,Pack,URL fornecedor,URLs extra,Imagens,Prioridade,Destaque homepage?,Notas internas
BOINAS INVERNO,Boné – 18440OL,BOINA OITAVADA PURE WOOL XADREZ,45.0,,Découvrez notre Casquette - 18440OL au prix de grossiste pour votre boutique sur Hologramme Paris.,"Fabricado na Itália, Inverno, Lã Pura",Oliva,"55 , 56 , 57 , 58 , 59 , 60 , 61",100% Lã,Unitário,https://hologrammeparis.com/product/casquette-18440ol/,,"images/boinas inverno/bone-18440ol/img_01.jpg, images/boinas inverno/bone-18440ol/img_02.jpg, images/boinas inverno/bone-18440ol/img_03.jpg, images/boinas inverno/bone-18440ol/img_04.jpg",,,
BOINAS INVERNO,"Gorro – Miki 22100

gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira",CHAPÉUS MIKI / MARINHEIRO,24.9,,Notre version Hologramme Paris du « Miki Docker » Bonnet style breton en laine avec patte de serrage arrière Sobre et sans logo apparent,CHAPÉUS MIKI / MARINHEIRO,"Azul celeste , camelo claro , camelo escuro , cinza escuro , cáqui , marinho , marrom , mostarda , preto , vermelho , verde",,49% Viscose – 51% Lã,Unitário,https://hologrammeparis.com/product/bonnet-22100/,,images/boinas inverno/gorro-miki-22100-gorro-de-la-estilo-bretao-miki-docker-com-aba-de-aperto-traseira/img_01.jpg,,,
BOINAS INVERNO,"Gorro – 344974

gorro de lã estilo bretão “Miki Docker” com aba de aperto traseira",CHAPÉUS MIKI / MARINHEIRO,24.9,,Découvrez notre Bonnet - 4974 Laine au prix de grossiste pour votre boutique sur Hologramme Paris.,Etiqueta: Fabricado em Portugal,"Borgonha , Camelo Claro , Camelo Escuro , Cinza Claro , Cinza Escuro , Cáqui , Marinho , Marrom , Marrom Escuro , Mostarda , Preto , Vermelho , Roxo",,20% Poliamida – 80% Lã Merino,Unitário,https://hologrammeparis.com/product/bonnet-344974/?attribute_pa_couleur=gris-fonce,,images/boinas inverno/gorro-344974-gorro-de-la-estilo-bretao-miki-docker-com-aba-de-aperto-traseira/img_01.jpg,,,
BOINAS INVERNO,"Boné – 18508MI
18452",BOINA SEXTAVADA PURE WOOL,55.0,,Découvrez notre Casquette - 18508MI au prix de grossiste pour votre boutique sur Hologramme Paris.,"Fabricado na Itália, Inverno, Lã Pura","Marinha, Caqui, Marrom","55 , 56 , 57 , 58 , 59 , 60 , 61",100% Lã,Unitário,https://hologrammeparis.com/product/casquette-18508mi/,"https://hologrammeparis.com/product/casquette-18508k/
https://hologrammeparis.com/fr/product/casquette-18452mi/
https://hologrammeparis.com/fr/product/casquette-18452ma/","images/boinas inverno/bone-18508mi-18452/img_01.jpg, images/boinas inverno/bone-18508mi-18452/img_02.jpg, images/boinas inverno/bone-18508mi-18452/img_03.jpg, images/boinas inverno/bone-18508mi-18452/img_04.jpg, images/boinas inverno/bone-18508mi-18452/img_05.jpg, images/boinas inverno/bone-18508mi-18452/img_06.jpg, images/boinas inverno/bone-18508mi-18452/img_07.jpg, images/boinas inverno/bone-18508mi-18452/img_08.jpg, images/boinas inverno/bone-18508mi-18452/img_09.jpg, images/boinas inverno/bone-18508mi-18452/img_10.jpg, images/boinas inverno/bone-18508mi-18452/img_11.jpg, images/boinas inverno/bone-18508mi-18452/img_12.jpg, images/boinas inverno/bone-18508mi-18452/img_13.jpg, images/boinas inverno/bone-18508mi-18452/img_14.jpg, images/boinas inverno/bone-18508mi-18452/img_15.jpg, images/boinas inverno/bone-18508mi-18452/img_16.jpg",,,
BOINAS INVERNO,Boné – 18500MI,BOINA HARRIS TWEED QUADRADOS,85.0,Harris Tweed 100% lã virgem,Harris Tweed 100% Laine vierge,"Fabricado na Itália, Harris Tweed, Inverno, Lã Pura",Marinho,"55 , 56 , 57 , 58 , 59 , 60 , 61",100% Lã,Unitário,https://hologrammeparis.com/product/casquette-18500mi/,,"images/boinas inverno/bone-18500mi/img_01.jpg, images/boinas inverno/bone-18500mi/img_02.jpg, images/boinas inverno/bone-18500mi/img_03.jpg, images/boinas inverno/bone-18500mi/img_04.jpg",,,
BOINAS INVERNO,Boné – 18501MI,BOINA HARRIS TWEED PATCHWORK,85.0,Harris Tweed 100% lã virgem,Harris Tweed 100% Laine vierge,"Fabricado na Itália, Harris Tweed, Inverno, Lã Pura",Marinho,"55 , 56 , 57 , 58 , 59 , 60 , 61",100% Lã,Unitário,https://hologrammeparis.com/product/casquette-18501mi/,,"images/boinas inverno/bone-18501mi/img_01.jpg, images/boinas inverno/bone-18501mi/img_02.jpg, images/boinas inverno/bone-18501mi/img_03.jpg, images/boinas inverno/bone-18501mi/img_04.jpg",,,
BOINAS INVERNO,"Boné – 18074
Boné – 18074K
Boné – 18074GC",BOINA PIEMONTE MIX WOOL,29.9,,Découvrez notre Casquette - 18074BL au prix de grossiste pour votre boutique sur Hologramme Paris.,"Fabricado na Itália, Inverno","Azul, Verde, Cinza","55 , 56 , 57 , 58 , 59 , 60 , 61",35% Lã – 25% Poliéster – 20% Acrílico – 10% Algodão – 10% Poliamida,Unitário,https://hologrammeparis.com/product/casquette-18074bl/,"https://hologrammeparis.com/product/casquette-18074v/
https://hologrammeparis.com/product/casquette-18074gc/","images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_01.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_02.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_03.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_04.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_05.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_06.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_07.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_08.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_09.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_12.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_13.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_14.jpg, images/boinas inverno/bone-18074-bone-18074k-bone-18074gc/img_15.jpg",,,
BOINAS INVERNO,"Boné – 18279K
Boné – 18279MA
Boné – 18279MI
Boné – 18279BG
Boné – 18279G",BOINA SEXTAVADA COM BOMBAZINE,45.0,,Découvrez notre Casquette - 18279K au prix de grossiste pour votre boutique sur Hologramme Paris.,"Fabricado na Itália, Inverno","Azul, Preto, Bege, Marrom, Cinza, Verde","55 , 56 , 57 , 58 , 59 , 60 , 61","61% Poliéster – 31% Viscose – 8% Elastano , Forro: Poliéster",Unitário,https://hologrammeparis.com/product/casquette-18279k/,"https://hologrammeparis.com/product/casquette-18279mi/
https://hologrammeparis.com/product/casquette-18279ma/
https://hologrammeparis.com/product/casquette-18279bg/","images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_01.jpg, images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_02.jpg, images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_03.jpg, images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_04.jpg, images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_05.jpg, images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_06.jpg, images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_07.jpg, images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_08.jpg, images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_09.jpg, images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_10.jpg, images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_11.jpg, images/boinas inverno/bone-18279k-bone-18279ma-bone-18279mi-bone-18279bg-bone-18279g/img_12.jpg",,,
BOINAS INVERNO,Boné – 22174,BOINA OITAVADA HARRINGBONE,29.9,,,"boina oitavada, Inverno, Mistura de lã",Preto,"57 , 59",50% Laine – 50% Polyester,Pacote 12,https://hologrammeparis.com/product/casquette-22174/,,,,,
BOINAS INVERNO,18220MI ,BOINA OITAVADA PURE WOOL,45.0,,100% Pure Laine Shetland,"Fabricado na Itália, Inverno, Lã Pura",Marinha,"55 , 56 , 57 , 58 , 59 , 60 , 61",100% Lã,Unitário,https://hologrammeparis.com/product/casquette-18220mi-new/,,"images/boinas inverno/18220mi/img_01.jpg, images/boinas inverno/18220mi/img_02.jpg, images/boinas inverno/18220mi/img_03.jpg, images/boinas inverno/18220mi/img_04.jpg",,,
BOINAS INVERNO,HOLOGRAMME,BOINA SEXTAVADA PIERRE CARDIN,65.0,,Découvrez notre Casquette - Pierre Cardin Noir au prix de grossiste pour votre boutique sur Hologramme Paris.,"Fabricado na Itália, Inverno, pierre cardin",,,,,https://hologrammeparis.com/fr/product/casquette-pierre-cardin-noir/,,"images/boinas inverno/hologramme/img_01.jpg, images/boinas inverno/hologramme/img_02.jpg, images/boinas inverno/hologramme/img_03.jpg, images/boinas inverno/hologramme/img_04.jpg",,,
BOINAS VERÃO,Boné – 12805,BOINA OITAVADA LINHO,27.5,,"Paquet de 24 pcs assorties: 4*Noir, 4*Marine, 5*Gris, 4*Vert, 3*Camel, 4*Beige",Verão 2023,Sortido,"57 , 59",85% Viscose – 15% Linho,Pacote 24,https://hologrammeparis.com/product/casquette-12805/,,"images/boinas verão/bone-12805/img_01.jpg, images/boinas verão/bone-12805/img_02.jpg, images/boinas verão/bone-12805/img_03.jpg, images/boinas verão/bone-12805/img_04.jpg, images/boinas verão/bone-12805/img_05.jpg, images/boinas verão/bone-12805/img_06.jpg, images/boinas verão/bone-12805/img_07.jpg, images/boinas verão/bone-12805/img_08.jpg, images/boinas verão/bone-12805/img_09.jpg",,,
BOINAS VERÃO,"Boné – 18110EC
Boné – 18110OL",BOINA PIEMONTE LINHO E ALGODÃO,27.5,,Découvrez notre Casquette - 18110EC au prix de grossiste pour votre boutique sur Hologramme Paris.,Etiqueta: Fabricado em Italia,"Cru, Preto, Verde, Azul","54 , 55 , 56 , 57 , 58 , 59 , 60 , 61",50% Algodão – 50% Linho,Unitário,https://hologrammeparis.com/product/casquette-18110ec/,https://hologrammeparis.com/fr/product/casquette-18110ol/,"images/boinas verão/bone-18110ec-bone-18110ol/img_01.jpg, images/boinas verão/bone-18110ec-bone-18110ol/img_02.jpg, images/boinas verão/bone-18110ec-bone-18110ol/img_03.jpg, images/boinas verão/bone-18110ec-bone-18110ol/img_04.jpg, images/boinas verão/bone-18110ec-bone-18110ol/img_05.jpg, images/boinas verão/bone-18110ec-bone-18110ol/img_06.jpg, images/boinas verão/bone-18110ec-bone-18110ol/img_08.jpg, images/boinas verão/bone-18110ec-bone-18110ol/img_09.jpg",,,
BOINAS VERÃO,Boné – 18474,BOINA SEXTAVADA CORES NA PALA,45.0,,Découvrez notre Casquette - 18474OL = 18519OL au prix de grossiste pour votre boutique sur Hologramme Paris.,BOINA SEXTAVADA CORES NA PALA,"Verde, Bege, Azul, Cinza","55 , 56 , 57 , 58 , 59 , 60 , 61",50% Polyester – 50% Viscose,Unitário,https://hologrammeparis.com/product/casquette-18474ol/,https://hologrammeparis.com/product/casquette-18474g/,"images/boinas verão/bone-18474/img_01.jpg, images/boinas verão/bone-18474/img_02.jpg, images/boinas verão/bone-18474/img_03.jpg, images/boinas verão/bone-18474/img_04.jpg, images/boinas verão/bone-18474/img_05.jpg, images/boinas verão/bone-18474/img_06.jpg, images/boinas verão/bone-18474/img_07.jpg, images/boinas verão/bone-18474/img_08.jpg",,,
BOINAS VERÃO,HOLOGRAMME,"Tag: Verão , Fabricado na Itália",12.0,"COR        
Bege, Castanho, Verde, Azul, Bordo, Marinho

TAMANHO                
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Pacote 24

COMPOSIÇÃO                
69% Poliéster – 31% Algodão / Forro 100% Algodão",Découvrez notre Casquette - 18410BG au prix de grossiste pour votre boutique sur Hologramme Paris.,BOINA LINHO QUADRADOS,"Bege, Castanho, Verde, Azul, Bordo, Marinho","55 , 56 , 57 , 58 , 59 , 60 , 61",69% Poliéster – 31% Algodão / Forro 100% Algodão,Pacote 24,https://hologrammeparis.com/product/casquette-18410bg/,https://hologrammeparis.com/product/casquette-e18107gr/,"images/boinas verão/hologramme/img_01.jpg, images/boinas verão/hologramme/img_02.jpg, images/boinas verão/hologramme/img_03.jpg, images/boinas verão/hologramme/img_04.jpg, images/boinas verão/hologramme/img_05.jpg, images/boinas verão/hologramme/img_06.jpg, images/boinas verão/hologramme/img_07.jpg, images/boinas verão/hologramme/img_08.jpg",,,
BOINAS VERÃO,"Boné – 18107
Boné – 18515 ","Tag: Fabricado na Itália, Linho",47.5,"COR        
Verde, Azul, Bege

TAMANHO                
55 , 56 , 57 , 58 , 59 , 60 , 61

VENDIDO POR        
Unidade

COMPOSIÇÃO                
100% Linho",Découvrez notre Casquette - E18107BL au prix de grossiste pour votre boutique sur Hologramme Paris.,"Fabricado na Itália, Linho","Verde, Azul, Bege","55 , 56 , 57 , 58 , 59 , 60 , 61",100% Linho,Unidade,https://hologrammeparis.com/product/casquette-e18107bl/,"https://hologrammeparis.com/fr/product/casquette-e18107bg/
https://hologrammeparis.com/fr/product/casquette-18515bg/","images/boinas verão/bone-18107-bone-18515/img_01.jpg, images/boinas verão/bone-18107-bone-18515/img_02.jpg, images/boinas verão/bone-18107-bone-18515/img_03.jpg, images/boinas verão/bone-18107-bone-18515/img_04.jpg, images/boinas verão/bone-18107-bone-18515/img_05.jpg, images/boinas verão/bone-18107-bone-18515/img_06.jpg, images/boinas verão/bone-18107-bone-18515/img_07.jpg, images/boinas verão/bone-18107-bone-18515/img_08.jpg, images/boinas verão/bone-18107-bone-18515/img_09.jpg, images/boinas verão/bone-18107-bone-18515/img_10.jpg",,,
BOINAS VERÃO,Boné – 18521A,BOINA PIEMONTE ALGODÃO,35.0,,Découvrez notre Casquette - 18521A au prix de grossiste pour votre boutique sur Hologramme Paris.,"Fabricado na Itália, Algodão","Azul, Bege, Marinho","55 , 56 , 57 , 58 , 59 , 60 , 61",100% Algodão,Unidade,https://hologrammeparis.com/fr/product/casquette-18521a/,,"images/boinas verão/bone-18521a/img_01.jpg, images/boinas verão/bone-18521a/img_02.jpg, images/boinas verão/bone-18521a/img_03.jpg, images/boinas verão/bone-18521a/img_04.jpg",,,
BOINAS VERÃO,"Boné – 15266F
Boné – 15266C",BOINA SEXTAVADA ALGODÃO,16.9,,Paquet de 24 pcs assorties: 2 de chaque couleur,"verão, cotton",,,,,https://hologrammeparis.com/fr/product/casquette-15266f/,https://hologrammeparis.com/fr/product/casquette-15266c/,"images/boinas verão/bone-15266f-bone-15266c/img_01.jpg, images/boinas verão/bone-15266f-bone-15266c/img_02.jpg, images/boinas verão/bone-15266f-bone-15266c/img_03.jpg, images/boinas verão/bone-15266f-bone-15266c/img_04.jpg, images/boinas verão/bone-15266f-bone-15266c/img_05.jpg, images/boinas verão/bone-15266f-bone-15266c/img_06.jpg, images/boinas verão/bone-15266f-bone-15266c/img_07.jpg, images/boinas verão/bone-15266f-bone-15266c/img_08.jpg, images/boinas verão/bone-15266f-bone-15266c/img_09.jpg, images/boinas verão/bone-15266f-bone-15266c/img_10.jpg, images/boinas verão/bone-15266f-bone-15266c/img_11.jpg, images/boinas verão/bone-15266f-bone-15266c/img_12.jpg, images/boinas verão/bone-15266f-bone-15266c/img_13.jpg, images/boinas verão/bone-15266f-bone-15266c/img_14.jpg, images/boinas verão/bone-15266f-bone-15266c/img_15.jpg, images/boinas verão/bone-15266f-bone-15266c/img_16.jpg, images/boinas verão/bone-15266f-bone-15266c/img_17.jpg, images/boinas verão/bone-15266f-bone-15266c/img_18.jpg, images/boinas verão/bone-15266f-bone-15266c/img_19.jpg, images/boinas verão/bone-15266f-bone-15266c/img_20.jpg, images/boinas verão/bone-15266f-bone-15266c/img_21.jpg, images/boinas verão/bone-15266f-bone-15266c/img_22.jpg, images/boinas verão/bone-15266f-bone-15266c/img_23.jpg, images/boinas verão/bone-15266f-bone-15266c/img_24.jpg, images/boinas verão/bone-15266f-bone-15266c/img_25.jpg, images/boinas verão/bone-15266f-bone-15266c/img_26.jpg, images/boinas verão/bone-15266f-bone-15266c/img_27.jpg, images/boinas verão/bone-15266f-bone-15266c/img_28.jpg, images/boinas verão/bone-15266f-bone-15266c/img_29.jpg, images/boinas verão/bone-15266f-bone-15266c/img_30.jpg, images/boinas verão/bone-15266f-bone-15266c/img_31.jpg, images/boinas verão/bone-15266f-bone-15266c/img_32.jpg, images/boinas verão/bone-15266f-bone-15266c/img_33.jpg, images/boinas verão/bone-15266f-bone-15266c/img_34.jpg",,,
BOINAS VERÃO,Casquette – 18534N,"Étiquette : verão, Fabriqué en Italie, Linho, algodão",37.5,"Couleur        
Noir

Taille        
55, 56, 57, 58, 59, 60, 61

Vendu par        
Unitaire

Composition        
50% Coton – 50% Lin",,"Étiquette : verão, Fabriqué en Italie, Linho, algodão",,,,,,,,,,
ARTIGOS EM PELE,"Boné – 18161N
Boné – 18161M",BOINA SEXTAVADA PELE,89.9,,Découvrez notre Casquette - 18161N au prix de grossiste pour votre boutique sur Hologramme Paris.,"Fabricado na Itália, pele genuina","Preto, Marrom","55 , 56 , 57 , 58 , 59 , 60 , 61",100% couro de vaca,Unitário,https://hologrammeparis.com/product/casquette-18161n/,https://hologrammeparis.com/product/casquette-18161m/,images/artigos em pele/bone-18161n-bone-18161m/img_01.jpg,,,
