sku,nome,categoria,price,priority,has_short_desc,has_long_desc,has_specs,has_tags,has_composition,completeness_score,gaps,supplier_url,can_auto_scrape
Chapka – 6064,GORRO USHANKA,GORROS,€1.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product-category/chapellerie/collection-hiver/chapeaux-hiver/toques-chapkas/,YES
Chapéu – 49171,CHAPÉU CHAPKA,GORROS,€3.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/toque-49171-simili-cuir/?attribute_pa_couleur=rouge-noir,YES
Chapéu – 49171,CHAPÉU CHAPKA,GORROS,€3.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/toque-49171-simili-cuir/?attribute_pa_couleur=rouge-noir,YES
bonnet-pierre-cardin,Bonnet – Pierre Cardin,GORROS,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/fr/product/bonnet-pierre-cardin-bonnet/,YES
"Tags: Fabricado na Itália , Lã Pura",CHAPEU FEDORA,CHAPÉUS LÃ,€35.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/chapeau-art-01-gros-grain-pack-12/,YES
"Tags: Fabricado na Itália , Lã Pura",CHAPEU FEDORA,CHAPÉUS LÃ,€35.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/chapeau-art-01-gros-grain-pack-12/,YES
Chapéu – Art 970 (Pack 12),CHAPÉU DE LÃ TRILBY,CHAPÉUS LÃ,€29.90,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/chapeau-art-970-pack-12/,YES
"Chapéu Impermeável – Art 181056

Tags: Fabricado na Itália , Lã,  Esmagável,  Impermeável",CHAPÉUS DE LÃ IMPERMEÁVEL,CHAPÉUS LÃ,€49.90,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/chapeau-waterproof-art-181056-pack-12/,YES
Boné – 13156,BONÉS DE INVERNO PARA MULHERES,FEMININO,€0.00,LOW,NO,YES,NO,YES,NO,2/5,"short_desc, specs, composition",https://hologrammeparis.com/product/casquette-13156/,YES
Boné – 12463,BONÉS DE INVERNO PARA MULHERES,FEMININO,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-12463/,YES
Palha – 12403,CHAPÉUS DE PALHA FEMININOS,FEMININO,€3.00,LOW,NO,NO,YES,YES,NO,2/5,"short_desc, long_desc, composition",https://hologrammeparis.com/product/paille-12403/,YES
Palha – 12673,CHAPÉUS DE PALHA FEMININOS,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/paille-12673/,YES
Boné – 12625,BONÉS DE VERÃO PARA MULHERES,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-12625/,YES
Boné – 2018016,BONÉS DE VERÃO PARA MULHERES,CERIMÓNIA,€0.00,LOW,NO,NO,YES,YES,YES,3/5,"short_desc, long_desc",https://hologrammeparis.com/product/casquette-2018016/,YES
Viseira – 23119,BONÉS DE VERÃO PARA MULHERES,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/visiere-23119/,YES
Boné – 2018039,BONÉS DE INVERNO PARA MULHERES,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-2018039/,YES
Casquette – 22103,BONÉS DE INVERNO PARA MULHERES,CERIMÓNIA,€14.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-22103/,YES
Casquette – 12448,BONÉS DE INVERNO PARA MULHERES,CERIMÓNIA,€15.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-12448/,YES
Palha – 12511,CHAPÉUS DE PALHA FEMININOS,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/paille-12511/,YES
Palha – 12512,CHAPÉUS DE PALHA FEMININOS,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/paille-12512/,YES
Palha – 12517,CHAPÉUS DE PALHA FEMININOS,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/paille-12517/,YES
Boina Clássica – 5020,BOINA CLÁSSICA / BERET,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/beret-5020/?attribute_pa_couleur=beige-na1302,YES
"Gorro – 5942F
Bonnet – 5942C",CHAPÉU LÃ HARMONICO,FEMININO,€19.90,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/bonnet-5942f/,YES
Boné – 22238,BOINA COM PALA PIED POULE,FEMININO,€29.90,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-22238/,YES
chapeu-cloche,CHAPEU CLOCHE,FEMININO,€35.00,LOW,NO,NO,YES,YES,YES,3/5,"short_desc, long_desc",,NO
casquete,CASQUETE,CERIMÓNIA,€1.00,LOW,NO,NO,NO,YES,NO,1/5,"short_desc, long_desc, specs, composition",,NO
chapeu-cerimonia-perolas,CHAPÉU CERIMÓNIA PERÓLAS,CERIMÓNIA,€2.00,LOW,NO,NO,NO,YES,NO,1/5,"short_desc, long_desc, specs, composition",,NO
chapeu-cerimonia-flores,CHAPÉU CERIMÓNIA FLORES,CERIMÓNIA,€3.00,LOW,NO,NO,NO,YES,NO,1/5,"short_desc, long_desc, specs, composition",,NO
Palha – 12673,CHAPÉUS DE PALHA FEMININOS,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/paille-12673/,YES
Boné – 12625,BONÉS DE VERÃO PARA MULHERES,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-12625/,YES
Boné – 2018016,BONÉS DE VERÃO PARA MULHERES,CERIMÓNIA,€0.00,LOW,NO,NO,YES,YES,YES,3/5,"short_desc, long_desc",https://hologrammeparis.com/product/casquette-2018016/,YES
Viseira – 23119,BONÉS DE VERÃO PARA MULHERES,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/visiere-23119/,YES
Boné – 2018039,BONÉS DE INVERNO PARA MULHERES,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-2018039/,YES
Casquette – 22103,BONÉS DE INVERNO PARA MULHERES,CERIMÓNIA,€14.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-22103/,YES
Casquette – 12448,BONÉS DE INVERNO PARA MULHERES,CERIMÓNIA,€15.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-12448/,YES
Palha – 12511,CHAPÉUS DE PALHA FEMININOS,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/paille-12511/,YES
Palha – 12512,CHAPÉUS DE PALHA FEMININOS,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/paille-12512/,YES
Palha – 12517,CHAPÉUS DE PALHA FEMININOS,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/paille-12517/,YES
Palha – 937,CHAPÉUS DE PALHA FEMININOS,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/paille-art-937-241-gros-grain/,YES
Boina Clássica – 5020,BOINA CLÁSSICA / BERET,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/beret-5020/?attribute_pa_couleur=beige-na1302,YES
Palha – 941216 Couro,CHAPÉU DE PALHA NATURAL,PALHA,€35.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/paille-941216-cuir/,YES
Panamá – 201754,CHAPEU PANAMÁ,PANAMÁ,€67.50,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/panama-201754/,YES
Panamá – 201752,CHAPEU PANAMÁ ABA CURTA,PANAMÁ,€67.50,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/panama-201752-ecru/,YES
Panamá – 931,CHAPEU PANAMÁ AJUSTÁVEL,PANAMÁ,€67.50,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/panama-art-931-japonais/,YES
Chapéu – 49103,CHAPÉUS ALGODÃO ENCERADO,À PROVA D´ÁGUA,€45.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/chapeau-49103/,YES
SOLID,CHAPÉU UV,PROTEÇÃO SOLAR,€19.90,LOW,NO,NO,YES,YES,YES,3/5,"short_desc, long_desc",,NO
SOLID,CHAPÉU UV,PROTEÇÃO SOLAR,€19.90,LOW,NO,NO,YES,YES,YES,3/5,"short_desc, long_desc",,NO
SOLID,CHAPÉU UV,PROTEÇÃO SOLAR,€19.90,LOW,NO,NO,YES,YES,YES,3/5,"short_desc, long_desc",,NO
SOLID,CHAPÉU UV,PROTEÇÃO SOLAR,€19.90,LOW,NO,NO,YES,YES,YES,3/5,"short_desc, long_desc",,NO
Bob – 2018121,BUCKT HAT ALGODÃO,CHAPÉUS EM TECIDO,€14.90,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/bob-2018121/,YES
Bob – 2018120,CHAPÉU SAFARI,CHAPÉUS EM TECIDO,€19.90,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/bob-2018120/,YES
bucket-hat-reversivel,BUCKET HAT REVERSIVEL,CHAPÉUS EM TECIDO,€19.90,LOW,NO,NO,YES,YES,YES,3/5,"short_desc, long_desc",,NO
"Boné – 12614
Boné – 15112",BONÉS CUBANOS,BONÉS,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-12614/,YES
Boné – 12694,BONÉS CUBANOS,BONÉS,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-12694/,YES
Boné – 12849,BONÉS CUBANOS,BONÉS,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-12849/,YES
Boné – 15165,BONÉS CUBANOS,BONÉS,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-15165/,YES
Boné – 15116,BONÉS CUBANOS,BONÉS,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-15116/,YES
Boné Veludo – 22138 (ou 2019110),BONÉS TRUCKER,BONÉS,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-2019110/?attribute_pa_couleur=noir,YES
Boné – 22134,BONÉS TRUCKER,BONÉS,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-2015022/,YES
Boné – 22134,BONÉS TRUCKER,BONÉS,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-2015022/,YES
Boné – 15263,BONÉS TRUCKER,BONÉS,€12.90,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/fr/product/casquette-15263/,YES
chapeu-cowboy,CHAPÉU COWBOY,COWBOY,€2.00,LOW,NO,NO,YES,YES,NO,2/5,"short_desc, long_desc, composition",,NO
chapeu-cowboy,CHAPÉU COWBOY,COWBOY,€2.00,LOW,NO,NO,YES,YES,NO,2/5,"short_desc, long_desc, composition",,NO
Boné – 15125,CHAPÉU COWBOY,COWBOY,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-12849/,YES
Boné – 15114,,COWBOY,€0.00,LOW,NO,YES,YES,NO,YES,3/5,"short_desc, tags",https://hologrammeparis.com/product/casquette-15114/,YES
"Gorro – Miki 12601
Gorro – 640182503",,COWBOY,€0.00,LOW,NO,YES,YES,NO,YES,3/5,"short_desc, tags",https://hologrammeparis.com/product/bonnet-miki-12601/?attribute_pa_couleur=beige-fonce,YES
Algodão 4974,,COWBOY,€0.00,LOW,NO,YES,YES,NO,YES,3/5,"short_desc, tags",https://hologrammeparis.com/product/bonnet-4974/,YES
Boné – 18110EC,,COWBOY,€0.00,LOW,NO,YES,YES,NO,YES,3/5,"short_desc, tags",https://hologrammeparis.com/product/casquette-18110ec/,YES
